Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Buenos Aires R16,L vs Fonseca,21.8%,33.3%,48.5%,28.5%,27.8%,42.6%,59.0%,38.5%,20.7%,64.0%,100.0%,12.9%,19.4%,33.3%,13
2024 Cagliari CH QF,L vs Darderi,6.5%,6.5%,37.5%,7.8%,10.0%,10.0%,44.4%,12.0%,26.7%,80.0%,100.0%,0.0%,0.0%,23.1%,-118
2024 Cordoba SF,L vs Bagnis,12.1%,18.2%,56.1%,18.0%,8.2%,14.3%,55.6%,16.1%,79.2%,32.0%,66.7%,25.0%,31.3%,58.3%,10
2023 US Open Q2,W vs Damm,29.5%,32.8%,62.5%,32.3%,34.9%,37.2%,64.3%,38.8%,41.2%,15.4%,0.0%,20.0%,26.7%,58.3%,65
2023 Miami R128,L vs Lehecka,38.0%,46.0%,48.3%,42.4%,54.8%,61.3%,42.9%,61.9%,26.7%,50.0%,50.0%,11.8%,23.5%,53.3%,-2
2023 Indian Wells R128,L vs Schwartzman,15.8%,19.3%,31.1%,18.6%,20.0%,25.0%,34.4%,24.0%,52.9%,30.4%,60.0%,7.1%,7.1%,23.1%,-53
2023 Cordoba F,L vs Baez,23.9%,31.3%,56.5%,28.7%,28.6%,38.1%,43.3%,36.2%,35.0%,86.4%,100.0%,20.0%,25.0%,81.3%,58
2022 Indian Wells R64,L vs Evans,14.6%,22.9%,30.0%,17.7%,13.8%,24.1%,28.0%,19.0%,21.4%,46.7%,60.0%,16.7%,22.2%,33.3%,1
2021 Bastad F,L vs Ruud,9.2%,13.8%,44.6%,12.6%,7.5%,12.5%,43.2%,13.0%,12.5%,95.8%,100.0%,13.6%,18.2%,47.4%,14
2021 Cordoba R16,W vs Cerundolo,19.2%,24.4%,45.9%,21.8%,23.4%,31.9%,38.9%,27.7%,22.7%,64.0%,60.0%,13.8%,13.8%,56.0%,-29
2020 Roland Garros R32,L vs Sinner,10.8%,12.6%,45.5%,13.3%,13.9%,16.5%,44.1%,17.5%,32.5%,76.9%,71.4%,3.1%,3.1%,48.4%,-84
2020 Rio de Janeiro R16,W vs Alcaraz,28.8%,36.0%,41.6%,34.1%,28.4%,37.5%,46.0%,35.0%,39.0%,66.0%,72.7%,33.3%,33.3%,21.4%,53
2019 Santo Domingo CH F,L vs Varillas,13.8%,21.3%,52.9%,17.8%,16.1%,22.6%,55.8%,21.3%,64.3%,52.9%,60.0%,5.9%,17.6%,43.8%,-57
2019 Barletta CH R64,W vs De Bakker,22.4%,31.8%,54.4%,28.0%,25.5%,36.4%,63.4%,34.2%,59.1%,27.3%,0.0%,23.8%,33.3%,31.3%,-10
Career (14 matches),,19.2%,25.3%,47.0%,23.3%,22.1%,29.2%,48.2%,28.1%,39.4%,56.4%,69.4%,14.7%,19.2%,44.3%,29
