Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,252,120,132,47.6%,300-346,46.4%,3065-3172,49.1%,39-63,38.2%,239,73.9%,25.1%,2.1%,3.5%,60.7%,66.4%,52.2%,60.8%,38.4%,49.6%,0.98
Clay,155,61,94,39.4%,182-234,43.8%,1857-2064,47.4%,21-26,44.7%,140,68.6%,26.1%,2.0%,3.2%,61.9%,63.4%,48.9%,57.9%,39.5%,48.7%,0.94
Grass,81,43,38,53.1%,110-112,49.5%,1090-1103,49.7%,24-26,48.0%,81,79.7%,20.6%,2.5%,3.0%,61.8%,69.5%,53.7%,63.5%,35.8%,49.7%,0.98
Carpet,27,14,13,51.9%,34-33,50.7%,340-337,50.2%,8-6,57.1%,20,81.0%,17.6%,4.0%,2.6%,63.6%,71.9%,50.7%,64.2%,33.9%,49.3%,0.95
Grand Slams,83,35,48,42.2%,143-174,45.1%,1470-1559,48.5%,19-31,38.0%,83,74.5%,23.2%,2.2%,3.2%,61.8%,66.7%,51.4%,60.8%,37.2%,49.1%,0.95
Masters,90,37,53,41.1%,87-124,41.2%,963-1100,46.7%,12-13,48.0%,88,72.9%,21.5%,1.8%,3.4%,60.9%,64.4%,51.5%,59.3%,37.6%,48.5%,0.92
Other Tours,312,151,161,48.4%,338-376,47.3%,3381-3490,49.2%,52-65,44.4%,309,73.7%,25.5%,2.3%,3.3%,61.2%,66.8%,51.5%,60.9%,38.6%,49.7%,0.99
Best of 5,108,47,61,43.5%,195-220,47.0%,1953-2036,49.0%,28-42,40.0%,83,74.5%,23.2%,2.2%,3.2%,61.8%,66.7%,51.4%,60.8%,37.2%,49.1%,0.95
Best of 3,407,191,216,46.9%,431-505,46.0%,4399-4640,48.7%,64-79,44.8%,397,73.5%,24.6%,2.2%,3.3%,61.2%,66.2%,51.5%,60.5%,38.4%,49.4%,0.97
Finals,10,2,8,20.0%,5-16,23.8%,90-117,43.5%,1-2,33.3%,10,73.0%,15.4%,1.7%,3.0%,59.0%,65.1%,54.4%,60.7%,33.0%,47.1%,0.84
Semi-finals,18,10,8,55.6%,22-21,51.2%,224-206,52.1%,2-7,22.2%,18,75.1%,29.8%,2.3%,3.5%,61.6%,69.1%,52.8%,62.8%,40.4%,51.2%,1.09
Quarter-finals,41,18,23,43.9%,40-55,42.1%,441-493,47.2%,9-14,39.1%,41,72.5%,23.4%,2.2%,2.8%,62.5%,64.6%,52.9%,60.2%,37.1%,48.7%,0.93
vs Righties,440,195,245,44.3%,516-637,44.8%,5351-5749,48.2%,75-105,41.7%,415,73.2%,23.6%,2.1%,3.3%,61.0%,66.0%,51.2%,60.2%,37.8%,49.0%,0.95
vs Lefties,74,42,32,56.8%,108-88,55.1%,989-926,51.6%,17-16,51.5%,64,77.3%,27.5%,2.8%,3.0%,63.5%,68.4%,53.3%,62.9%,39.5%,51.0%,1.06
vs Top 10,60,13,47,21.7%,47-114,29.2%,693-904,43.4%,9-23,28.1%,55,72.4%,16.1%,1.8%,2.9%,61.9%,63.9%,51.9%,59.3%,33.7%,47.0%,0.83
