Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,19,9,10,47.4%,27-29,48.2%,272-293,48.1%,5-6,45.5%,19,79.7%,15.8%,6.5%,3.1%,62.6%,72.0%,50.0%,63.8%,34.6%,49.2%,0.96
Clay,4,2,2,50.0%,7-4,63.6%,60-52,53.6%,0-0,-,4,85.7%,21.4%,4.6%,1.4%,71.5%,69.4%,61.6%,67.1%,37.3%,52.6%,1.14
Grass,5,1,4,20.0%,6-10,37.5%,77-87,47.0%,3-0,100.0%,5,82.5%,9.9%,6.5%,1.1%,68.7%,68.2%,55.8%,64.3%,33.4%,49.2%,0.94
Grand Slams,7,3,4,42.9%,16-17,48.5%,155-175,47.0%,4-1,80.0%,7,78.4%,14.7%,5.1%,2.4%,65.0%,68.9%,55.3%,64.1%,36.0%,49.8%,1.01
Masters,13,7,6,53.8%,18-14,56.3%,172-160,51.8%,2-4,33.3%,13,84.7%,19.6%,5.9%,2.3%,64.0%,72.8%,51.5%,65.1%,35.7%,50.4%,1.02
Other Tours,8,2,6,25.0%,6-12,33.3%,82-97,45.8%,2-1,66.7%,8,79.3%,9.0%,8.6%,2.9%,66.5%,70.7%,48.5%,63.3%,30.2%,47.8%,0.82
Best of 5,7,3,4,42.9%,16-17,48.5%,155-175,47.0%,4-1,80.0%,7,78.4%,14.7%,5.1%,2.4%,65.0%,68.9%,55.3%,64.1%,36.0%,49.8%,1.01
Best of 3,21,9,12,42.9%,24-26,48.0%,254-257,49.7%,4-5,44.4%,21,82.7%,15.9%,6.9%,2.5%,64.9%,72.0%,50.4%,64.4%,33.9%,49.5%,0.95
Quarter-finals,1,0,1,0.0%,1-1,50.0%,8-12,40.0%,1-0,100.0%,1,66.7%,0.0%,6.8%,2.3%,64.8%,64.9%,45.2%,58.0%,20.9%,41.9%,0.50
vs Righties,27,12,15,44.4%,38-40,48.7%,389-404,49.1%,7-6,53.8%,27,81.5%,15.9%,6.2%,2.4%,65.3%,71.0%,51.8%,64.3%,34.7%,49.7%,0.97
vs Lefties,1,0,1,0.0%,2-3,40.0%,20-28,41.7%,1-0,100.0%,1,73.9%,8.3%,6.6%,2.9%,58.1%,67.1%,59.6%,64.0%,35.3%,48.0%,0.98
vs Top 10,3,2,1,66.7%,6-3,66.7%,52-48,52.0%,3-0,100.0%,3,83.3%,18.4%,5.4%,1.7%,65.4%,72.5%,59.8%,68.1%,37.2%,51.9%,1.17
