Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,100,45,55,45.0%,130-136,48.9%,1341-1345,49.9%,26-29,47.3%,96,80.0%,19.8%,7.8%,2.8%,61.7%,72.3%,51.3%,64.3%,36.1%,50.1%,1.01
Clay,21,7,14,33.3%,19-32,37.3%,232-269,46.3%,1-4,20.0%,21,72.7%,20.2%,4.4%,2.7%,62.1%,66.3%,47.3%,59.1%,36.5%,48.1%,0.89
Grass,23,10,13,43.5%,29-33,46.8%,313-305,50.6%,6-6,50.0%,22,85.8%,15.7%,8.6%,2.5%,63.0%,72.5%,55.8%,66.4%,33.7%,50.3%,1.00
Grand Slams,33,15,18,45.5%,57-71,44.5%,613-657,48.3%,11-10,52.4%,33,78.7%,18.3%,6.7%,2.7%,62.4%,69.6%,52.7%,63.3%,35.9%,49.6%,0.98
Masters,26,11,15,42.3%,30-30,50.0%,317-301,51.3%,3-8,27.3%,26,81.8%,21.0%,6.7%,2.5%,61.6%,72.5%,50.3%,64.0%,36.2%,50.2%,1.00
Other Tours,80,35,45,43.8%,86-92,48.3%,894-901,49.8%,19-20,48.7%,79,80.1%,18.8%,8.1%,2.8%,61.8%,72.3%,51.0%,64.2%,35.3%,49.9%,0.99
Best of 5,33,15,18,45.5%,57-71,44.5%,613-657,48.3%,11-10,52.4%,33,78.7%,18.3%,6.7%,2.7%,62.4%,69.6%,52.7%,63.3%,35.9%,49.6%,0.98
Best of 3,111,47,64,42.3%,121-130,48.2%,1273-1262,50.2%,22-29,43.1%,106,80.6%,19.7%,7.8%,2.7%,61.7%,72.5%,50.9%,64.2%,35.7%,50.0%,1.00
Finals,3,1,2,33.3%,3-4,42.9%,36-40,47.4%,1-1,50.0%,3,83.8%,10.8%,9.7%,2.3%,66.0%,73.1%,50.0%,65.3%,28.3%,48.1%,0.81
Semi-finals,5,3,2,60.0%,7-6,53.8%,68-61,52.7%,1-1,50.0%,5,82.8%,22.2%,7.8%,1.6%,64.2%,73.3%,58.2%,67.9%,37.7%,51.7%,1.18
Quarter-finals,10,5,5,50.0%,12-7,63.2%,106-94,53.0%,4-4,50.0%,9,85.7%,19.2%,7.4%,2.3%,63.2%,73.5%,57.2%,67.5%,36.1%,51.2%,1.11
vs Righties,129,52,77,40.3%,153-181,45.8%,1663-1708,49.3%,28-37,43.1%,124,79.8%,18.9%,7.3%,2.7%,62.2%,71.3%,51.2%,63.7%,35.7%,49.8%,0.98
vs Lefties,14,9,5,64.3%,23-19,54.8%,209-200,51.1%,5-2,71.4%,14,80.6%,21.1%,8.5%,3.3%,60.4%,73.1%,53.3%,65.2%,36.6%,50.8%,1.05
vs Top 10,9,3,6,33.3%,11-11,50.0%,115-114,50.2%,3-2,60.0%,9,82.3%,17.2%,5.9%,2.0%,61.2%,73.9%,54.8%,66.5%,35.8%,50.5%,1.07
