Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,83,37,46,44.6%,82-108,43.2%,786-904,46.5%,5-8,38.5%,47,-,-,2.0%,10.9%,58.5%,58.7%,37.6%,50.0%,42.8%,46.4%,0.86
Clay,12,4,8,33.3%,9-18,33.3%,103-154,40.1%,3-2,60.0%,10,-,-,2.0%,10.6%,63.3%,54.3%,36.9%,47.9%,44.3%,46.1%,0.85
Grass,18,6,12,33.3%,12-26,31.6%,130-184,41.4%,0-0,-,9,-,-,1.2%,12.0%,59.0%,52.7%,33.5%,44.8%,37.8%,41.4%,0.69
Carpet,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,-,-,0.0%,7.1%,69.0%,37.9%,46.2%,40.5%,32.6%,36.4%,0.55
Grand Slams,17,6,11,35.3%,12-25,32.4%,129-194,39.9%,1-2,33.3%,12,-,-,1.7%,10.4%,60.1%,55.3%,35.8%,47.5%,43.3%,45.4%,0.82
Premiers,17,2,15,11.8%,4-31,11.4%,95-206,31.6%,1-2,33.3%,15,-,-,1.0%,15.3%,56.3%,52.8%,31.4%,43.4%,40.2%,41.8%,0.71
Internationals,71,35,36,49.3%,79-87,47.6%,718-771,48.2%,6-6,50.0%,39,-,-,2.2%,9.8%,60.1%,58.8%,39.3%,51.0%,43.2%,47.1%,0.88
Finals,3,0,3,0.0%,1-6,14.3%,16-40,28.6%,0-0,-,1,-,-,1.3%,8.0%,58.7%,61.4%,41.9%,53.3%,37.2%,44.7%,0.80
Semi-finals,5,3,2,60.0%,7-6,53.8%,57-61,48.3%,0-0,-,2,-,-,3.2%,8.6%,58.4%,55.6%,48.1%,52.4%,46.1%,49.1%,0.97
Quarter-finals,10,5,5,50.0%,10-13,43.5%,94-103,47.7%,0-1,0.0%,2,-,-,2.4%,11.2%,44.8%,73.2%,50.7%,60.8%,55.1%,58.0%,1.41
vs Righties,96,40,56,41.7%,85-130,39.5%,848-1057,44.5%,8-9,47.1%,58,-,-,1.5%,10.9%,59.6%,57.1%,37.8%,49.3%,43.0%,46.2%,0.85
vs Lefties,14,3,11,21.4%,10-22,31.3%,112-163,40.7%,0-0,-,9,-,-,4.1%,11.3%,58.3%,56.9%,32.8%,46.8%,38.1%,42.5%,0.72
vs Top 10,8,0,8,0.0%,0-16,0.0%,25-97,20.5%,0-0,-,4,-,-,0.9%,10.4%,53.6%,46.9%,31.6%,39.8%,36.3%,38.2%,0.60
