Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,17,11,6,64.7%,23-14,62.2%,192-135,58.7%,0-4,0.0%,17,76.6%,40.4%,10.2%,6.2%,59.1%,74.1%,45.1%,62.2%,45.8%,54.0%,1.21,F (W15 Leimen)
2025,49,28,21,57.1%,61-50,55.0%,530-475,52.7%,5-3,62.5%,49,69.3%,35.1%,6.0%,5.3%,53.9%,67.8%,46.7%,58.1%,43.5%,50.9%,1.04,W (2x)
2024,73,47,26,64.4%,99-55,64.3%,783-582,57.4%,9-6,60.0%,0,,,,,,,,,,,,W (3x)
2023,54,27,27,50.0%,61-62,49.6%,566-553,50.6%,3-4,42.9%,0,,,,,,,,,,,,F (W15 Wanfercee-Baulet)
2022,59,34,25,57.6%,76-65,53.9%,673-639,51.3%,9-5,64.3%,0,,,,,,,,,,,,W (2x)
2021,31,10,21,32.3%,24-45,34.8%,261-349,42.8%,3-2,60.0%,0,,,,,,,,,,,,QF (W15 Monastir)
2020,20,10,10,50.0%,21-24,46.7%,202-225,47.3%,6-2,75.0%,0,,,,,,,,,,,,F (W15 Haabneeme)
2019,38,17,21,44.7%,42-45,48.3%,399-402,49.8%,4-5,44.4%,0,,,,,,,,,,,,QF (5x)
2018,18,5,13,27.8%,9-27,25.0%,119-183,39.4%,0-1,0.0%,0,,,,,,,,,,,,QF (Oldenzaal $15K)
2017,2,1,1,50.0%,2-2,50.0%,17-20,45.9%,0-0,-,0,,,,,,,,,,,,R16 (Shymkent $15K)
Career,361,190,171,52.6%,418-389,51.8%,3742-3563,51.2%,39-32,54.9%,66,71.0%,36.3%,7.0%,5.5%,55.1%,69.4%,46.4%,59.1%,44.0%,51.6%,1.08,
