Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Prague R32,W vs Knutson,4.5,4.5,4.5,46.9%,51.7%,72.4%,36.8%,52.2%,8.7%,8.5,4.8,3.5,2.1
2023 Roland Garros R128,L vs Ostapenko,3.4,3.3,3.4,50.0%,38.5%,53.3%,25.0%,54.0%,19.4%,0.5,0.6,4.5,6.0
2023 Australian Open R128,L vs Sabalenka,3.2,3.0,3.3,39.4%,38.1%,40.0%,66.7%,50.9%,14.0%,6.0,11.3,-1.0,-2.0
2022 Ostrava R16,W vs Kontaveit,4.4,3.6,5.1,54.4%,52.4%,55.6%,36.4%,45.2%,15.2%,15.5,24.2,7.0,9.1
2022 Indian Wells R64,L vs Badosa,5.1,6.0,4.2,42.5%,44.4%,40.0%,50.0%,58.0%,8.1%,11.0,6.9,-7.5,-7.0
2022 Australian Open R64,L vs Giorgi,3.8,4.1,3.4,50.0%,43.3%,27.8%,30.0%,58.7%,8.0%,-1.0,-0.9,-8.0,-9.9
2021 Indian Wells R64,L vs Svitolina,3.6,3.8,3.3,47.1%,33.3%,37.5%,16.7%,50.0%,20.5%,-1.5,-2.1,-4.5,-7.4
2021 Prague F,L vs Krejcikova,3.8,4.5,3.1,45.3%,26.9%,33.3%,25.0%,53.6%,23.4%,-1.5,-2.4,-6.5,-13.3
2021 Bogota R16,L vs Osorio,4.4,4.6,4.3,47.9%,47.7%,45.5%,25.0%,57.1%,17.5%,1.0,0.7,-7.0,-6.7
2021 Miami R64,L vs Andreescu,4.5,5.0,4.0,53.5%,40.9%,35.7%,40.0%,55.5%,10.3%,-8.0,-5.7,-3.0,-2.7
2021 Dubai R32,W vs Bertens,4.3,4.6,4.1,54.1%,68.8%,55.0%,33.3%,70.3%,7.4%,12.5,8.4,7.0,11.3
2019 St Petersburg R16,L vs Alexandrova,4.1,4.0,4.3,45.6%,46.4%,18.8%,50.0%,60.0%,9.5%,-1.5,-1.3,3.0,4.0
2015 ITF Wiesbaden F,L vs Sevastova,3.6,4.3,2.9,32.7%,38.5%,58.3%,0.0%,46.9%,18.4%,-10.5,-18.4,0.5,0.8
Career (13 matches),,4.1,4.3,3.9,47.1%,44.6%,45.3%,36.3%,55.5%,13.2%,2.4,2.2,-0.9,-1.1
