Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Prague R32,W vs Knutson,22.2%,27.8%,43.3%,26.6%,32.8%,46.8%,50.0%,56.3%,62.5%,13.0%,17.4%,35.0%,9.1%,33.3%,50.0%,14
2023 Roland Garros R128,L vs Ostapenko,26.3%,26.3%,32.7%,25.0%,25.0%,35.7%,42.9%,25.0%,41.7%,35.0%,35.0%,23.1%,33.3%,0.0%,0.0%,97
2023 Australian Open R128,L vs Sabalenka,26.7%,28.9%,40.0%,32.4%,35.3%,43.5%,68.8%,33.3%,33.3%,12.5%,12.5%,28.6%,33.3%,20.0%,0.0%,-14
2022 Ostrava R16,W vs Kontaveit,22.4%,30.6%,47.2%,25.0%,35.0%,53.3%,42.1%,47.6%,100.0%,14.3%,14.3%,16.7%,100.0%,0.0%,0.0%,9
2022 Indian Wells R64,L vs Badosa,15.7%,22.9%,50.0%,19.6%,29.4%,56.1%,66.7%,23.3%,20.0%,6.3%,6.3%,33.3%,60.0%,0.0%,-,-58
2022 Australian Open R64,L vs Giorgi,23.6%,26.4%,37.7%,26.9%,28.8%,34.2%,70.8%,25.0%,50.0%,16.7%,22.2%,46.7%,50.0%,20.0%,-,17
2021 Indian Wells R64,L vs Svitolina,21.5%,29.2%,37.5%,24.0%,34.0%,39.5%,71.4%,45.5%,50.0%,16.7%,16.7%,30.0%,0.0%,20.0%,20.0%,35
2021 Prague F,L vs Krejcikova,20.8%,29.2%,29.7%,11.8%,20.6%,26.7%,70.6%,17.6%,50.0%,46.2%,53.8%,42.9%,83.3%,0.0%,0.0%,-18
2021 Bogota R16,L vs Osorio,15.3%,19.4%,41.4%,14.3%,21.4%,41.7%,50.0%,50.0%,80.0%,18.5%,18.5%,40.9%,70.0%,5.9%,16.7%,17
2021 Miami R64,L vs Andreescu,12.7%,21.5%,44.9%,14.3%,25.0%,52.1%,14.3%,28.6%,40.0%,8.7%,13.0%,28.6%,25.0%,33.3%,66.7%,-104
2021 Dubai R32,W vs Bertens,20.4%,29.6%,66.7%,20.6%,32.4%,66.7%,53.3%,21.1%,0.0%,21.1%,26.3%,66.7%,25.0%,9.1%,0.0%,-43
2019 St Petersburg R16,L vs Alexandrova,25.4%,28.8%,35.0%,31.6%,34.2%,38.5%,52.6%,36.8%,66.7%,17.6%,23.5%,28.6%,14.3%,20.0%,0.0%,46
2015 ITF Wiesbaden F,L vs Sevastova,11.1%,11.1%,26.3%,15.2%,15.2%,32.1%,22.2%,46.7%,33.3%,0.0%,0.0%,10.0%,0.0%,0.0%,-,-119
Career (13 matches),,20.3%,25.5%,41.3%,22.3%,28.6%,43.8%,51.2%,34.9%,49.1%,17.8%,20.7%,34.9%,38.2%,14.5%,20.8%,49
