Date,Tournament,Surface,Rd,,Score
28-Oct-1968,Richmond,Clay,F,Bueno / Nancy Richey [USA] d. Marilyn Aschner / Peaches Bartkowicz [USA],6-1 6-2
24-Sep-1968,Berkeley,Hard,F,Bueno / Margaret Court [AUS] d. Esme Emmanuel / Maryna Godwin [RSA],6-2 6-4
16-Sep-1968,Los Angeles,Hard,F,(3) Francoise Durr [FRA] / Ann Jones [GBR] d. (1) Bueno / Margaret Court [AUS],6-3 6-2
29-Aug-1968,US Open,Grass,F,(3) Bueno / Margaret Court [AUS] d. (1) Rosie Casals / Billie Jean King [USA],4-6 9-7 8-6
19-Aug-1968,Chestnut Hill,Grass,F,Bueno / Margaret Court [AUS] d. Virginia Wade / Joyce Williams [GBR],6-3 7-5
26-Jun-1967,Wimbledon,Grass,F,Billie Jean King / Rosie Casals [USA] d. Bueno / Nancy Richey [USA],9-11 6-4 6-2
01-Sep-1966,US National Championships,Grass,F,(1) Bueno / Nancy Richey [USA] d. (2) Rosie Casals / Billie Jean King [USA],6-3 6-4
20-Jun-1966,Wimbledon,Grass,F,(2) Bueno / Nancy Richey [USA] d. (1) Margaret Court / Judy Tegart [AUS],6-3 4-6 6-4
22-Jun-1965,Wimbledon,Grass,F,Bueno / Billie Jean King [USA] d. Francoise Durr / Janine Lieffrig [FRA],6-2 7-5
28-Aug-1963,US National Championships,Grass,F,(2) Robyn Ebbern / Margaret Court [AUS] d. (1) Bueno / Darlene Hard [USA],4-6 10-8 6-3
26-Jun-1963,Wimbledon,Grass,F,(2) Bueno / Darlene Hard [USA] d. (1) Robyn Ebbern / Margaret Court [AUS],8-6 9-7
31-Aug-1962,US National Championships,Grass,F,(1) Bueno / Darlene Hard [USA] d. (2) Billie Jean King / Karen Susman [USA],4-6 6-3 6-2
18-May-1961,Roland Garros,Clay,F,Sandra Reynolds / Renee Schuurman [RSA] d. Bueno / Darlene Hard [USA],W/O
02-Sep-1960,US National Championships,Grass,F,(1) Bueno / Darlene Hard [USA] d. (1) Deidre Catt / Ann Jones [GBR],6-1 6-1
20-Jun-1960,Wimbledon,Grass,F,(1) Bueno / Darlene Hard [USA] d. (4) Sandra Reynolds / Renee Schuurman [RSA],6-4 6-0
17-May-1960,Roland Garros,Clay,F,(2) Bueno / Darlene Hard [USA] d. (4) Patricia Ward Hales / Ann Jones [GBR],6-2 7-5
22-Jan-1960,Australian Championships,Grass,F,(1) Bueno / Christine Truman [GBR] d. (2) Lorraine Coghlan / Margaret Court [AUS],6-2 5-7 6-2
06-Sep-1959,US National Championships,Grass,F,(1) Jeanne Arth / Darlene Hard [USA] d. Bueno / Sally Moore [USA],6-2 6-3
29-Aug-1958,US National Championships,Grass,F,Jeanne Arth / Darlene Hard [USA] d. Bueno / Althea Gibson [USA],2-6 6-3 6-4
23-Jun-1958,Wimbledon,Grass,F,(1) Bueno / Althea Gibson [USA] d. Margaret Osborne Dupont / Margaret Varner [USA],6-3 7-5
