Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,13,4,9,30.8%,11-23,32.4%,162-188,46.3%,3-4,42.9%,9,74.2%,14.4%,8.6%,3.9%,59.1%,71.4%,49.7%,62.5%,32.1%,47.4%,0.86
Clay,17,10,7,58.8%,23-16,59.0%,195-177,52.4%,4-2,66.7%,16,79.5%,24.3%,7.6%,3.1%,58.1%,73.4%,52.1%,64.5%,38.6%,51.2%,1.09
Grass,4,1,3,25.0%,6-9,40.0%,75-80,48.4%,2-3,40.0%,4,85.3%,12.0%,12.2%,5.7%,55.2%,74.7%,53.1%,65.0%,32.2%,49.1%,0.92
Grand Slams,6,2,4,33.3%,10-16,38.5%,122-137,47.1%,3-5,37.5%,6,78.6%,16.0%,9.7%,4.3%,55.6%,71.9%,50.8%,62.5%,34.5%,48.6%,0.92
Masters,6,4,2,66.7%,8-6,57.1%,75-64,54.0%,2-1,66.7%,6,82.4%,25.0%,8.4%,2.9%,62.5%,77.5%,46.5%,65.9%,37.6%,51.6%,1.10
Other Tours,18,7,11,38.9%,18-21,46.2%,189-200,48.6%,4-3,57.1%,17,77.8%,18.1%,8.5%,3.9%,57.8%,72.0%,53.7%,64.3%,35.0%,49.5%,0.98
Best of 5,6,2,4,33.3%,10-16,38.5%,122-137,47.1%,3-5,37.5%,6,78.6%,16.0%,9.7%,4.3%,55.6%,71.9%,50.8%,62.5%,34.5%,48.6%,0.92
Best of 3,28,13,15,46.4%,30-32,48.4%,310-308,50.2%,6-4,60.0%,23,79.0%,19.9%,8.4%,3.7%,59.0%,73.5%,52.0%,64.7%,35.7%,50.0%,1.01
Finals,1,0,1,0.0%,1-2,33.3%,13-15,46.4%,0-0,-,1,78.6%,14.3%,7.1%,1.2%,62.4%,73.6%,53.1%,65.9%,29.2%,49.0%,0.85
Semi-finals,1,1,0,100.0%,2-0,100.0%,13-9,59.1%,1-0,100.0%,1,90.9%,20.0%,11.4%,2.9%,58.6%,82.9%,44.8%,67.1%,39.1%,53.7%,1.19
Quarter-finals,2,1,1,50.0%,2-3,40.0%,25-28,47.2%,1-0,100.0%,2,76.9%,15.4%,12.9%,1.8%,58.8%,72.0%,50.0%,62.9%,32.1%,48.2%,0.86
vs Righties,33,14,19,42.4%,38-48,44.2%,420-440,48.8%,9-9,50.0%,28,78.4%,18.2%,8.7%,3.9%,57.9%,72.8%,51.1%,63.7%,35.0%,49.3%,0.96
vs Top 10,3,0,3,0.0%,1-7,12.5%,22-45,32.8%,0-0,-,3,50.0%,15.2%,3.1%,3.1%,51.3%,52.1%,45.0%,48.7%,32.8%,41.4%,0.64
