Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,22,8,14,36.4%,19-35,35.2%,260-297,46.7%,6-7,46.2%,18,78.7%,12.8%,9.7%,3.6%,60.4%,72.6%,50.6%,63.9%,31.6%,48.3%,0.88
Clay,21,11,10,52.4%,27-25,51.9%,247-246,50.1%,4-3,57.1%,20,75.0%,24.5%,6.7%,3.4%,56.7%,71.4%,50.2%,62.2%,38.4%,50.2%,1.02
Grass,5,1,4,20.0%,6-11,35.3%,84-93,47.5%,2-4,33.3%,5,84.7%,11.6%,11.6%,5.4%,56.2%,73.5%,53.4%,64.7%,31.5%,48.6%,0.89
Grand Slams,10,4,6,40.0%,17-25,40.5%,193-215,47.3%,3-6,33.3%,10,75.0%,19.7%,8.5%,4.1%,56.6%,69.9%,50.5%,61.5%,35.3%,48.7%,0.92
Masters,6,4,2,66.7%,8-6,57.1%,75-64,54.0%,2-1,66.7%,6,82.4%,25.0%,8.4%,2.9%,62.5%,77.5%,46.5%,65.9%,37.6%,51.6%,1.10
Other Tours,28,10,18,35.7%,23-35,39.7%,277-313,46.9%,7-7,50.0%,27,79.0%,14.6%,9.0%,3.8%,58.3%,72.6%,52.0%,64.0%,33.5%,48.9%,0.93
Best of 5,10,4,6,40.0%,17-25,40.5%,193-215,47.3%,3-6,33.3%,10,75.0%,19.7%,8.5%,4.1%,56.6%,69.9%,50.5%,61.5%,35.3%,48.7%,0.92
Best of 3,38,16,22,42.1%,35-46,43.2%,398-421,48.6%,9-8,52.9%,33,79.7%,16.6%,8.8%,3.6%,59.1%,73.5%,51.1%,64.4%,34.2%,49.4%,0.96
Finals,1,0,1,0.0%,1-2,33.3%,13-15,46.4%,0-0,-,1,78.6%,14.3%,7.1%,1.2%,62.4%,73.6%,53.1%,65.9%,29.2%,49.0%,0.85
Semi-finals,2,1,1,50.0%,2-2,50.0%,23-22,51.1%,1-1,50.0%,2,86.4%,14.3%,12.2%,2.6%,62.8%,75.5%,41.4%,62.8%,35.8%,50.3%,0.96
Quarter-finals,3,2,1,66.7%,4-3,57.1%,38-38,50.0%,2-0,100.0%,3,83.8%,13.5%,12.0%,1.6%,62.0%,74.8%,51.6%,66.0%,30.8%,49.4%,0.91
vs Righties,46,18,28,39.1%,47-69,40.5%,551-606,47.6%,12-13,48.0%,41,77.9%,16.6%,8.7%,3.8%,58.6%,72.0%,50.5%,63.1%,34.1%,48.8%,0.92
vs Lefties,1,1,0,100.0%,3-2,60.0%,28-25,52.8%,0-1,0.0%,1,72.0%,34.6%,7.1%,3.9%,50.0%,74.0%,51.9%,63.0%,40.3%,51.8%,1.09
vs Top 10,6,0,6,0.0%,2-15,11.8%,47-95,33.1%,0-0,-,6,51.4%,14.3%,3.3%,3.7%,54.1%,55.5%,43.5%,50.0%,32.0%,41.7%,0.64
