Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),753,40,,,,,,,,,,,,
2025,739,40,,,,,,,,,,,,
2024,184,313,163,1606,155,1555,134,1589,114,1557,,,,
2023,91,683,82,1725,67,1694,107,1625,53,1645,,,,
2022,159,354,148,1626,138,1585,154,1562,111,1558,,,,
2021,229,279,163,1596,131,1584,168,1534,178,1471,,,,
2020,209,300,109,1659,94,1619,96,1622,,,852,35,,
2019,239,198,115,1672,101,1653,90,1642,,,452,90,,
2018,74,706,129,1646,122,1608,89,1646,128,1514,286,160,128,1429
2017,90,608,56,1793,50,1755,64,1719,83,1596,611,78,,
2016,176,323,111,1666,149,1560,96,1648,,,482,112,,
2015,264,198,230,1489,214,1453,224,1448,209,1419,366,183,,
2014,463,81,,,,,,,,,670,66,,
2013,894,15,,,,,,,,,1086,21,,
2012,1226,4,,,,,,,,,,,,
