Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Roland Garros Q3,W vs Arnaboldi,23.4%,34.4%,60.4%,28.3%,28.6%,40.5%,56.7%,36.0%,17.4%,52.6%,33.3%,14.3%,23.8%,66.7%,-10
2024 Estoril R32,L vs Thiem,22.1%,31.6%,44.8%,26.0%,30.5%,39.0%,41.5%,36.8%,51.7%,73.3%,80.0%,10.3%,24.1%,50.0%,-26
2023 Ismaning CH F,L vs Bellier,51.4%,67.0%,58.8%,59.4%,60.3%,79.5%,69.0%,72.3%,36.4%,60.0%,-,35.3%,44.1%,45.5%,5
2023 Amersfoort CH F,W vs Droguet,28.6%,46.4%,62.5%,41.3%,25.0%,46.9%,66.7%,47.2%,21.4%,55.6%,33.3%,33.3%,45.8%,56.3%,-79
2019 Indian Wells R64,L vs Kecmanovic,7.3%,24.4%,52.6%,19.5%,10.3%,24.1%,57.7%,27.6%,41.2%,83.3%,100.0%,0.0%,25.0%,41.7%,-118
2019 Cordoba R32,L vs Bedene,20.3%,30.5%,55.6%,26.4%,24.4%,37.8%,64.7%,32.4%,42.1%,69.2%,50.0%,8.3%,8.3%,27.3%,-39
2018 US Open R128,L vs Nishikori,24.7%,30.1%,35.8%,28.2%,28.1%,35.1%,34.1%,33.7%,23.1%,61.3%,50.0%,21.2%,24.2%,38.5%,47
2018 Umag R32,W vs Serdarusic,26.8%,46.3%,54.2%,37.4%,36.7%,67.3%,64.5%,54.5%,34.8%,65.4%,-,12.5%,15.6%,42.9%,-33
2018 Roland Garros R64,W vs Shapovalov,40.0%,46.4%,53.8%,45.5%,44.6%,52.2%,58.8%,52.9%,33.3%,62.0%,50.0%,34.1%,38.6%,44.8%,47
2018 Munich SF,L vs Kohlschreiber,18.0%,30.0%,42.5%,20.0%,20.6%,26.5%,29.6%,23.5%,36.8%,60.0%,100.0%,13.3%,40.0%,69.2%,16
2018 Cherbourg CH F,W vs Lestienne,27.6%,44.8%,65.0%,35.5%,32.4%,54.1%,56.0%,44.9%,23.5%,80.0%,50.0%,21.1%,31.6%,80.0%,-3
2017 Monterrey CH SF,W vs King,38.8%,49.3%,55.0%,44.2%,46.7%,60.0%,62.5%,54.7%,47.4%,57.7%,100.0%,23.8%,28.6%,43.8%,-10
2017 Rome CH R16,L vs Quinzi,25.0%,35.3%,38.8%,30.3%,34.0%,46.8%,45.2%,41.7%,43.5%,66.7%,50.0%,5.3%,10.5%,27.8%,-66
2015 Tashkent CH R32,W vs Chen,38.9%,53.7%,59.3%,42.0%,70.8%,75.0%,71.4%,77.9%,30.8%,54.5%,-,16.7%,45.8%,55.0%,45
Career (14 matches),,30.2%,42.2%,51.8%,36.5%,36.7%,50.2%,53.9%,46.5%,35.0%,64.1%,57.1%,20.4%,30.4%,48.5%,36
