Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,6,0,6,0.0%,2,1,1,50.0%,2010,2018,R128,6,0.66,9.5%,3.4%,64.3%,69.5%,48.8%,62.1%,25.0%,53.8%,29.6%
Roland Garros,10,Clay,22,12,10,54.5%,18,7,11,38.9%,2009,2018,R16,20,0.96,7.1%,3.0%,64.7%,72.5%,50.4%,64.7%,33.7%,54.1%,33.8%
Wimbledon,7,Grass,12,5,7,41.7%,13,5,8,38.5%,2009,2018,R64,7,0.77,9.8%,3.5%,64.1%,70.2%,50.5%,63.1%,28.3%,57.4%,20.9%
US Open,9,Hard,14,5,9,35.7%,8,3,5,37.5%,2009,2017,R64,10,0.87,7.6%,4.8%,57.8%,72.8%,50.5%,63.4%,31.9%,63.8%,31.3%
Davis Cup,3,,3,2,1,66.7%,1,1,0,100.0%,2010,2018,,1,1.62,11.3%,1.9%,58.5%,74.2%,72.7%,73.6%,42.9%,50.0%,100.0%
Miami Masters,10,Hard,19,8,11,42.1%,8,3,5,37.5%,2009,2018,R16,18,0.86,5.9%,3.9%,59.2%,70.9%,50.7%,62.7%,32.2%,61.3%,47.9%
Buenos Aires,9,Clay,15,6,9,40.0%,5,2,3,40.0%,2009,2018,QF,12,0.80,5.3%,1.2%,68.2%,69.1%,48.4%,62.5%,30.0%,60.0%,29.8%
Sao Paulo,6,Clay,12,6,6,50.0%,6,4,2,66.7%,2012,2018,SF,12,0.80,7.2%,2.3%,65.1%,72.0%,51.8%,65.0%,28.1%,69.9%,40.0%
Houston,5,Clay,14,9,5,64.3%,2,1,1,50.0%,2010,2018,SF,14,1.09,5.5%,3.8%,60.9%,71.6%,54.0%,64.7%,38.3%,68.5%,45.6%
St. Petersburg,5,Hard,9,4,5,44.4%,7,3,4,42.9%,2009,2017,F,9,0.88,7.7%,3.3%,64.6%,72.2%,54.6%,65.9%,29.8%,69.8%,40.6%
Indian Wells Masters,5,Hard,8,3,5,37.5%,6,3,3,50.0%,2010,2018,R64,8,0.93,4.7%,4.3%,57.1%,69.2%,55.1%,63.1%,34.3%,65.5%,40.0%
