Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,1,8680,,
2020,,,,,,,,,,,3,6750,,
2019,,,,,,,,,,,4,5610,12,1859
2018,173,300,102,1687,113,1623,76,1665,151,1491,29,2590,47,1720
2017,66,768,99,1697,110,1636,77,1679,160,1478,38,1813,36,1752
2016,71,722,109,1671,109,1618,97,1646,144,1506,45,1643,42,1733
2015,124,475,126,1637,171,1519,101,1626,142,1521,72,1073,,
2014,123,455,158,1595,186,1512,122,1595,,,79,933,69,1645
2013,56,835,104,1678,138,1569,73,1696,163,1472,40,1835,43,1721
2012,85,615,100,1695,151,1549,74,1697,,,63,1140,68,1663
2011,109,516,152,1604,170,1521,117,1605,,,88,890,66,1654
2010,110,517,140,1612,134,1570,114,1602,174,1450,33,2175,27,1752
2009,45,934,66,1760,58,1714,70,1710,114,1525,79,989,,
2008,199,212,267,1464,217,1459,243,1440,,,154,383,,
2007,262,150,369,1355,350,1315,300,1361,236,1347,85,648,,
2006,272,146,328,1370,350,1256,291,1360,,,187,306,,
2005,489,50,,,,,,,,,351,130,,
2004,672,24,,,,,,,,,779,34,,
2003,1212,3,,,,,,,,,1398,5,,
