Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,222,125,97,56.3%,314-268,54.0%,2830-2709,51.1%,38-41,48.1%,171,76.0%,26.1%,6.0%,4.4%,51.9%,71.8%,49.6%,61.1%,39.1%,50.2%,1.01
Clay,93,37,56,39.8%,98-142,40.8%,1071-1204,47.1%,12-15,44.4%,59,66.8%,28.2%,3.9%,3.8%,52.5%,66.2%,45.9%,56.6%,40.2%,48.4%,0.93
Grass,67,39,28,58.2%,98-86,53.3%,927-871,51.6%,19-20,48.7%,43,77.3%,27.0%,6.2%,6.7%,51.8%,75.2%,46.5%,61.4%,39.0%,50.2%,1.01
Carpet,178,103,75,57.9%,239-183,56.6%,2155-1975,52.2%,37-36,50.7%,111,79.4%,22.6%,6.8%,3.3%,54.0%,73.4%,51.9%,63.5%,37.3%,50.4%,1.02
Grand Slams,89,51,38,57.3%,164-152,51.9%,1530-1476,50.9%,28-24,53.8%,58,75.9%,25.5%,5.3%,4.9%,52.9%,73.6%,45.4%,60.3%,38.2%,49.3%,0.96
Masters,85,39,46,45.9%,102-109,48.3%,983-1009,49.3%,11-14,44.0%,60,70.3%,26.9%,5.9%,3.6%,52.5%,68.8%,48.8%,59.3%,39.4%,49.5%,0.97
Other Tours,365,199,166,54.5%,438-397,52.5%,4107-3985,50.8%,63-67,48.5%,266,76.8%,25.3%,6.1%,4.3%,52.5%,71.8%,50.6%,61.7%,38.9%,50.3%,1.02
Best of 5,111,64,47,57.7%,211-182,53.7%,1928-1831,51.3%,34-30,53.1%,59,75.3%,25.4%,5.3%,4.9%,52.8%,73.3%,45.2%,60.1%,38.1%,49.2%,0.96
Best of 3,449,240,209,53.5%,538-497,52.0%,5055-4928,50.6%,72-82,46.8%,325,75.8%,25.6%,6.1%,4.2%,52.5%,71.3%,50.3%,61.4%,39.0%,50.2%,1.01
Finals,11,3,8,27.3%,8-15,34.8%,95-122,43.8%,1-4,20.0%,8,61.2%,30.6%,4.2%,4.9%,49.4%,66.2%,46.2%,56.1%,39.7%,47.7%,0.90
Semi-finals,30,11,19,36.7%,28-43,39.4%,330-379,46.5%,9-8,52.9%,23,74.9%,18.1%,7.4%,3.5%,52.7%,70.7%,49.8%,60.8%,35.9%,48.3%,0.92
Quarter-finals,59,30,29,50.8%,67-71,48.6%,648-645,50.1%,5-9,35.7%,45,73.6%,24.9%,5.6%,3.6%,52.5%,71.6%,49.0%,60.9%,38.2%,49.6%,0.98
vs Righties,468,260,208,55.6%,640-551,53.7%,5873-5605,51.2%,94-94,50.0%,317,76.1%,25.5%,6.0%,4.3%,52.2%,72.0%,49.8%,61.4%,39.0%,50.2%,1.01
vs Lefties,92,44,48,47.8%,109-128,46.0%,1110-1154,49.0%,12-18,40.0%,67,73.7%,25.8%,5.4%,4.5%,54.2%,70.8%,46.2%,59.6%,38.1%,49.1%,0.94
vs Top 10,69,17,52,24.6%,54-120,31.0%,705-935,43.0%,12-17,41.4%,41,70.2%,15.6%,6.7%,4.4%,51.4%,72.0%,45.6%,59.2%,33.1%,46.2%,0.81
