Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R128,L vs Linette,0.87,0.79,65.4,4.8,4.3%,56.5%,4.7%,65.1%,26.2%,47.2%
2025 Beijing R16,W vs Swiatek,1.02,1.24,58.0,2.7,2.2%,66.7%,2.4%,54.8%,46.0%,48.9%
2025 BJK Cup Finals RR,L vs Cocciaretto,0.88,0.72,53.6,2.1,0.0%,62.5%,6.7%,56.7%,36.4%,30.0%
2025 US Open R64,W vs Mcnally,0.99,1.59,38.0,2.2,4.0%,68.0%,4.5%,50.0%,64.3%,65.4%
2025 Cincinnati R64,L vs Seidel,0.85,0.86,68.9,12.6,4.3%,58.7%,2.4%,63.4%,36.4%,43.6%
2025 Wimbledon R16,L vs Andreeva,0.87,0.62,39.9,2.2,0.0%,48.3%,0.0%,36.0%,48.1%,33.3%
2025 Wimbledon R128,W vs Kvitova,0.99,1.88,40.8,3.2,0.0%,78.3%,4.8%,61.9%,59.3%,52.2%
2025 Berlin R16,L vs Badosa,0.95,0.74,54.4,2.4,2.2%,48.9%,0.0%,58.5%,40.0%,32.3%
2025 Queen's Club QF,L vs Anisimova,0.87,0.66,49.8,2.5,5.4%,59.5%,0.0%,47.1%,28.6%,42.3%
2025 Roland Garros R128,L vs Bouzas Maneiro,0.85,0.47,29.7,2.1,0.0%,30.8%,0.0%,37.5%,26.3%,47.1%
2025 Charleston QF,L vs Anisimova,0.86,0.84,70.8,2.5,0.0%,56.1%,5.0%,45.0%,58.7%,36.6%
2025 Merida F,W vs Arango,1.08,2.77,29.4,2.0,0.0%,84.2%,0.0%,58.8%,75.0%,66.7%
2025 Merida SF,W vs Avanesyan,1.02,1.54,44.0,2.3,0.0%,62.1%,0.0%,65.4%,62.5%,46.7%
2025 Merida QF,W vs Sonmez,1.08,1.39,43.8,2.9,0.0%,57.7%,0.0%,43.5%,57.1%,69.2%
2025 Doha R32,L vs Fernandez,0.74,0.41,30.2,2.0,0.0%,52.2%,0.0%,40.0%,29.2%,30.0%
2025 Australian Open QF,L vs Swiatek,0.96,0.60,39.4,2.0,0.0%,46.7%,3.4%,44.8%,25.9%,42.3%
2025 Australian Open R16,W vs Kasatkina,0.98,1.08,91.6,3.4,1.7%,58.6%,2.0%,44.9%,52.9%,52.3%
2024 US Open SF,L vs Sabalenka,0.90,0.73,52.8,2.1,0.0%,61.8%,3.4%,51.7%,33.3%,36.4%
2024 US Open QF,W vs Badosa,1.12,1.71,40.3,2.0,0.0%,66.7%,0.0%,67.9%,46.7%,54.2%
2024 US Open R16,W vs Gauff,1.03,1.28,62.0,2.7,2.2%,60.0%,0.0%,73.2%,44.4%,39.6%
2026 (1 matches),,0.87,0.79,65.4,4.8,4.3%,56.5%,4.7%,65.1%,26.2%,47.2%
2025 (16 matches),,0.94,0.96,54.2,2.5,1.5%,58.1%,2.1%,50.8%,47.2%,45.9%
2024 (32 matches),,1.01,1.08,57.5,2.7,2.0%,58.6%,1.9%,59.0%,43.9%,44.2%
2023 (9 matches),,0.92,0.96,51.3,2.6,1.4%,54.9%,2.3%,58.1%,49.2%,41.9%
2022 (1 matches),,1.01,0.88,69.8,2.1,1.8%,47.3%,1.8%,47.3%,47.9%,43.5%
Career (73 matches),,0.98,1.00,55.8,2.6,1.7%,56.1%,1.9%,55.8%,45.3%,44.7%
