Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Australian Open R128,L vs Linette,3.4,3.4,3.3,50.9%,53.1%,45.5%,28.6%,61.6%,12.0%,8.5,6.7,12.0,16.4
2025 Beijing R16,W vs Swiatek,3.5,3.9,3.2,55.3%,52.2%,50.0%,50.0%,45.0%,17.5%,8.5,8.4,13.0,11.7
2025 BJK Cup Finals RR,L vs Cocciaretto,4.5,4.5,4.5,45.5%,44.0%,52.4%,46.2%,42.8%,9.6%,1.0,1.1,-3.0,-2.5
2025 US Open R64,W vs Mcnally,5.3,5.4,5.3,59.2%,52.2%,81.8%,72.2%,56.7%,12.6%,4.5,3.5,7.0,8.0
2025 Cincinnati R64,L vs Seidel,4.2,4.1,4.2,47.3%,45.5%,58.3%,81.8%,62.9%,11.0%,9.5,5.6,10.0,10.4
2025 Wimbledon R16,L vs Andreeva,5.4,6.5,4.4,31.4%,56.0%,53.3%,41.2%,46.3%,20.4%,5.5,5.1,-6.5,-6.0
2025 Wimbledon R128,W vs Kvitova,2.8,3.1,2.5,62.1%,63.6%,75.0%,50.0%,42.4%,22.6%,7.0,20.6,7.5,20.8
2025 Berlin R16,L vs Badosa,4.4,4.9,3.6,51.9%,35.3%,41.7%,46.7%,55.1%,27.1%,-1.0,-0.8,7.0,8.5
2025 Queens Club QF,L vs Anisimova,3.4,3.2,3.7,53.2%,31.0%,50.0%,22.2%,45.7%,24.7%,-4.0,-5.8,-1.0,-1.6
2025 Roland Garros R128,L vs Bouzas Maneiro,4.3,4.7,3.7,32.5%,35.7%,50.0%,25.0%,55.3%,11.8%,-3.0,-3.8,-0.5,-0.9
2025 Charleston QF,L vs Anisimova,3.6,3.7,3.5,47.2%,55.3%,40.0%,66.7%,46.1%,24.8%,15.5,15.7,1.0,1.1
2025 Merida F,W vs Arango,5.7,5.9,5.6,62.1%,68.4%,85.7%,83.3%,67.0%,15.0%,20.5,17.5,5.5,11.0
2025 Merida SF,W vs Avanesyan,5.3,5.9,4.9,62.7%,54.8%,58.8%,55.6%,50.4%,9.6%,16.0,12.4,10.5,8.6
2025 Merida QF,W vs Sonmez,5.1,5.7,4.7,64.4%,54.8%,50.0%,46.2%,55.6%,6.8%,11.5,9.2,6.0,6.3
2025 Doha R32,L vs Fernandez,4.4,5.0,3.9,29.2%,52.6%,30.0%,60.0%,50.0%,11.4%,9.0,12.2,-6.0,-8.7
2025 Australian Open QF,L vs Swiatek,5.8,5.3,6.2,46.3%,34.5%,41.7%,33.3%,56.9%,19.8%,-9.0,-5.9,4.0,4.3
2025 Australian Open R16,W vs Kasatkina,5.3,5.5,5.2,45.5%,66.7%,46.9%,48.6%,43.5%,15.0%,34.5,14.6,0.5,0.2
2024 US Open SF,L vs Sabalenka,3.5,4.0,3.0,44.7%,48.3%,54.5%,28.6%,52.3%,31.7%,8.0,10.0,11.5,20.5
2024 US Open QF,W vs Badosa,4.3,4.8,3.8,57.6%,73.1%,50.0%,44.4%,64.6%,13.7%,6.5,5.4,3.0,4.8
2024 US Open R16,W vs Gauff,3.8,4.8,2.9,50.4%,60.0%,55.6%,58.8%,46.0%,11.5%,-5.0,-4.2,16.5,12.2
Last 52 Weeks (11 matches),,4.0,4.2,3.8,49.8%,47.4%,52.3%,49.2%,51.6%,17.7%,4.7,4.6,4.2,5.0
Career (55 matches),,4.4,4.6,4.3,49.5%,52.4%,49.3%,50.1%,53.0%,15.9%,7.7,6.1,4.7,4.7
