Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,29,12,17,41.4%,34-37,47.9%,345-334,50.8%,4-5,44.4%,26,69.3%,33.0%,2.9%,5.9%,61.4%,65.0%,49.8%,59.1%,42.7%,51.0%,1.04
Clay,12,6,6,50.0%,16-13,55.2%,138-130,51.5%,0-2,0.0%,12,65.4%,37.7%,2.2%,6.1%,58.2%,63.5%,47.3%,56.8%,45.8%,51.1%,1.06
Grass,11,7,4,63.6%,15-10,60.0%,122-105,53.7%,1-1,50.0%,11,70.4%,36.4%,0.7%,2.7%,66.1%,60.4%,51.4%,57.4%,45.5%,51.9%,1.07
Grand Slams,9,5,4,55.6%,12-9,57.1%,95-87,52.2%,1-0,100.0%,9,60.4%,42.2%,1.9%,5.6%,61.3%,59.9%,48.6%,55.6%,47.4%,51.8%,1.07
Premiers,19,9,10,47.4%,22-22,50.0%,218-203,51.8%,1-4,20.0%,19,72.4%,31.6%,1.9%,5.0%,61.1%,64.3%,51.1%,59.2%,42.8%,51.1%,1.05
Internationals,3,1,2,33.3%,4-4,50.0%,41-36,53.2%,0-1,0.0%,3,61.5%,45.9%,2.0%,7.8%,64.5%,61.8%,41.8%,54.7%,48.2%,51.3%,1.06
Quarter-finals,6,0,6,0.0%,3-12,20.0%,60-85,41.4%,1-2,33.3%,6,57.7%,25.4%,1.8%,5.2%,64.1%,58.1%,45.0%,53.4%,40.5%,47.1%,0.87
vs Righties,47,22,25,46.8%,58-55,51.3%,547-519,51.3%,4-7,36.4%,44,68.1%,35.0%,2.4%,5.2%,61.4%,63.7%,49.0%,58.0%,44.2%,51.1%,1.05
vs Lefties,5,3,2,60.0%,7-5,58.3%,58-50,53.7%,1-1,50.0%,5,72.7%,33.3%,1.1%,5.9%,63.8%,62.1%,53.7%,59.0%,43.4%,51.6%,1.06
vs Top 10,5,1,4,20.0%,4-9,30.8%,53-66,44.5%,1-1,50.0%,5,63.8%,25.4%,1.9%,2.7%,67.7%,59.5%,44.4%,54.6%,40.7%,47.8%,0.90
