Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R128,L vs Linette,0.0%,-,1.2%,0.0%,17.0%,14.3%,0.0%,18.4%,25.0%,0.0%,-,21,63
2025 Beijing R16,W vs Swiatek,0.0%,-,1.6%,100.0%,9.8%,44.4%,0.0%,9.9%,25.0%,0.8%,0.0%,-93,-49
2025 BJK Cup Finals RR,L vs Cocciaretto,0.0%,-,1.6%,0.0%,10.6%,15.0%,0.0%,4.8%,12.5%,0.0%,-,-41,-26
2025 US Open R64,W vs Mcnally,0.0%,-,4.0%,100.0%,4.8%,5.9%,0.0%,1.4%,20.0%,0.4%,0.0%,-156,-135
2025 Cincinnati R64,L vs Seidel,0.0%,-,5.9%,80.0%,11.5%,11.9%,16.7%,11.4%,66.7%,0.3%,100.0%,-47,-34
2025 Wimbledon R16,L vs Andreeva,0.0%,-,8.3%,33.3%,5.3%,22.2%,0.0%,4.4%,14.3%,1.2%,0.0%,-87,-82
2025 Wimbledon R128,W vs Kvitova,0.0%,-,5.3%,100.0%,13.3%,33.3%,0.0%,20.0%,66.7%,0.0%,-,-96,-15
2025 Berlin R16,L vs Badosa,0.0%,-,5.9%,33.3%,7.3%,14.3%,0.0%,11.3%,44.4%,1.1%,66.7%,-79,-80
2025 Queens Club QF,L vs Anisimova,0.0%,-,4.0%,20.0%,3.4%,10.0%,0.0%,9.5%,44.4%,1.2%,0.0%,-45,-23
2025 Roland Garros R128,L vs Bouzas Maneiro,0.0%,-,7.0%,50.0%,7.5%,16.0%,0.0%,2.2%,25.0%,1.3%,0.0%,-57,-73
2025 Charleston QF,L vs Anisimova,0.0%,-,3.0%,40.0%,17.5%,26.3%,0.0%,9.8%,57.1%,1.7%,75.0%,-81,-60
2025 Merida F,W vs Arango,0.0%,-,18.9%,92.9%,14.2%,20.0%,100.0%,16.7%,16.7%,2.2%,75.0%,-38,-28
2025 Merida SF,W vs Avanesyan,0.0%,-,8.5%,70.0%,11.9%,10.0%,0.0%,11.8%,62.5%,0.7%,50.0%,14,1
2025 Merida QF,W vs Sonmez,0.0%,-,5.8%,33.3%,11.0%,10.3%,0.0%,6.7%,16.7%,1.3%,0.0%,-46,-55
2025 Doha R32,L vs Fernandez,0.0%,-,5.7%,80.0%,15.4%,21.1%,20.0%,10.2%,50.0%,0.0%,-,-5,-49
2025 Australian Open QF,L vs Swiatek,0.0%,-,2.7%,66.7%,4.5%,9.4%,0.0%,8.7%,37.5%,1.1%,0.0%,-77,-81
2025 Australian Open R16,W vs Kasatkina,0.0%,-,5.8%,71.4%,16.1%,30.4%,12.5%,7.0%,35.7%,1.1%,16.7%,-61,-66
2024 US Open SF,L vs Sabalenka,0.0%,-,4.5%,50.0%,16.4%,25.0%,0.0%,25.6%,62.5%,1.2%,0.0%,-45,-59
2024 US Open QF,W vs Badosa,0.0%,-,5.4%,100.0%,10.9%,4.8%,100.0%,1.9%,0.0%,1.5%,100.0%,-19,-20
2024 US Open R16,W vs Gauff,0.0%,-,5.3%,100.0%,5.7%,15.4%,0.0%,11.8%,30.8%,1.7%,20.0%,-38,-32
Last 52 Weeks (11 matches),,0.0%,-,4.1%,53.3%,9.8%,15.9%,7.7%,8.0%,32.4%,0.7%,33.3%,-69,-47
Career (55 matches),,0.0%,-,6.4%,65.8%,11.2%,17.5%,15.9%,9.8%,29.7%,1.1%,35.6%,-36,-32
