Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,20,17,3,85.0%,33-6,84.6%,225-110,67.2%,0-3,0.0%,20,76.9%,58.7%,1.8%,2.9%,76.0%,64.7%,50.6%,61.3%,52.9%,57.1%,1.37,W (2x)
2025,50,32,18,64.0%,70-38,64.8%,553-406,57.7%,1-5,16.7%,50,69.8%,45.6%,1.8%,2.8%,73.1%,61.8%,48.9%,58.3%,48.3%,53.2%,1.16,W (W75 Glasgow)
2024,45,29,16,64.4%,61-30,67.0%,488-349,58.3%,8-6,57.1%,1,90.0%,0.0%,10.5%,1.8%,63.2%,69.4%,66.7%,68.4%,26.4%,45.0%,0.84,W (W50 Lopota)
2023,51,34,17,66.7%,71-40,64.0%,552-449,55.1%,4-4,50.0%,2,50.0%,25.0%,1.6%,2.3%,69.5%,52.8%,41.0%,49.2%,37.9%,43.9%,0.75,W (2x)
2022,48,30,18,62.5%,62-34,64.6%,490-366,57.2%,4-3,57.1%,3,55.6%,36.0%,0.0%,5.1%,80.0%,57.1%,40.0%,53.7%,41.2%,48.0%,0.89,F (2x)
2021,41,28,13,68.3%,59-33,64.1%,478-347,57.9%,1-7,12.5%,0,,,,,,,,,,,,W (2x)
2020,12,5,7,41.7%,10-16,38.5%,113-122,48.1%,0-2,0.0%,1,12.5%,37.5%,0.0%,4.4%,62.2%,32.1%,23.5%,28.9%,40.0%,34.1%,0.56,SF (W60 Cairo)
2019,35,27,8,77.1%,55-23,70.5%,398-302,56.9%,5-0,100.0%,0,,,,,,,,,,,,W (3x)
2018,14,12,2,85.7%,24-7,77.4%,180-105,63.2%,1-2,33.3%,0,,,,,,,,,,,,W (Antalya $15K)
2017,3,1,2,33.3%,2-4,33.3%,20-33,37.7%,0-0,-,0,,,,,,,,,,,,R16 (Kiev $15K)
Career,319,215,104,67.4%,447-231,65.9%,3497-2589,57.5%,24-32,42.9%,77,70.1%,47.0%,1.8%,2.9%,73.7%,61.9%,48.7%,58.4%,48.6%,53.4%,1.17,
