Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,14,6,8,42.9%,15-19,44.1%,149-151,49.7%,0-2,0.0%,14,61.6%,38.6%,0.6%,3.0%,76.3%,57.9%,42.9%,54.4%,45.1%,49.8%,0.99
Grass,7,3,4,42.9%,6-8,42.9%,59-67,46.8%,0-0,-,7,63.9%,30.8%,1.7%,5.0%,73.0%,62.0%,42.2%,56.7%,42.3%,49.3%,0.98
Grand Slams,6,2,4,33.3%,5-9,35.7%,57-68,45.6%,0-2,0.0%,6,63.9%,28.6%,1.0%,4.1%,72.8%,61.6%,37.7%,55.1%,40.5%,48.0%,0.90
Internationals,15,7,8,46.7%,16-18,47.1%,151-150,50.2%,0-0,-,15,61.6%,39.4%,0.9%,3.4%,76.5%,58.0%,45.2%,55.0%,45.8%,50.3%,1.02
Semi-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,42.9%,0.0%,0.0%,2.3%,63.6%,50.0%,37.5%,45.5%,26.1%,35.6%,0.48
Quarter-finals,2,1,1,50.0%,3-3,50.0%,29-26,52.7%,0-0,-,2,63.0%,42.9%,0.0%,4.0%,76.3%,57.0%,40.4%,53.0%,47.3%,50.3%,1.01
vs Righties,19,7,12,36.8%,17-27,38.6%,184-205,47.3%,0-2,0.0%,19,60.3%,35.2%,0.9%,3.7%,74.6%,58.5%,41.6%,54.2%,43.7%,49.0%,0.96
vs Lefties,2,2,0,100.0%,4-0,100.0%,24-13,64.9%,0-0,-,2,83.3%,47.4%,1.0%,2.0%,85.1%,65.1%,66.7%,65.3%,50.5%,57.5%,1.46
vs Top 10,2,2,0,100.0%,4-1,80.0%,24-19,55.8%,0-0,-,2,66.7%,45.5%,0.0%,4.1%,68.9%,59.5%,47.4%,55.7%,47.3%,51.4%,1.07
