Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,3,1,75.0%,6-3,66.7%,44-30,59.5%,0-0,-,4,72.2%,47.4%,0.8%,1.7%,79.7%,60.3%,47.9%,57.8%,49.4%,53.6%,1.17,SF (Cluj-Napoca)
2025,2,0,2,0.0%,1-4,20.0%,24-28,46.2%,0-1,0.0%,2,60.0%,30.8%,0.5%,4.3%,77.1%,58.6%,51.2%,56.9%,42.5%,50.1%,0.99,R32 (Cluj-Napoca)
2024,5,2,3,40.0%,5-6,45.5%,43-48,47.3%,0-0,-,5,66.7%,28.3%,1.8%,4.6%,74.4%,65.6%,37.0%,58.2%,41.6%,49.7%,1.00,R16 (Nottingham)
2023,6,3,3,50.0%,7-7,50.0%,62-62,50.0%,0-0,-,6,57.6%,43.1%,0.5%,4.4%,76.4%,54.1%,47.4%,52.6%,47.2%,49.9%,1.00,QF (Cluj Napoca)
2022,4,1,3,25.0%,2-7,22.2%,35-50,41.2%,0-1,0.0%,4,57.1%,27.9%,1.1%,2.6%,69.7%,59.1%,34.6%,51.7%,39.6%,45.5%,0.82,R32 (2x)
Career,21,9,12,42.9%,21-27,43.8%,208-218,48.8%,0-2,0.0%,21,62.3%,36.2%,0.9%,3.6%,75.4%,59.1%,42.7%,55.0%,44.3%,49.6%,0.98,
