Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,10,2,8,20.0%,4-18,18.2%,87-134,39.4%,3-3,50.0%,8,70.8%,8.0%,5.1%,2.1%,65.4%,67.0%,47.6%,60.3%,30.7%,46.1%,0.77
Clay,23,8,15,34.8%,18-33,35.3%,211-277,43.2%,3-2,60.0%,21,65.5%,17.9%,3.8%,2.8%,62.9%,62.9%,46.0%,56.6%,34.8%,46.2%,0.80
Grass,3,1,2,33.3%,5-7,41.7%,59-70,45.7%,3-2,60.0%,3,81.5%,9.4%,4.1%,1.2%,68.5%,67.0%,58.8%,64.4%,33.3%,48.7%,0.93
Grand Slams,4,1,3,25.0%,5-10,33.3%,67-89,42.9%,3-3,50.0%,4,78.2%,7.8%,4.3%,1.2%,69.5%,65.7%,55.5%,62.6%,31.2%,47.1%,0.83
Masters,4,1,3,25.0%,3-7,30.0%,48-59,44.9%,1-1,50.0%,4,71.7%,17.3%,4.2%,1.6%,64.4%,66.0%,48.9%,59.9%,34.8%,48.4%,0.87
Other Tours,22,6,16,27.3%,13-35,27.1%,186-271,40.7%,2-3,40.0%,21,65.6%,17.0%,4.1%,3.0%,62.6%,63.3%,45.6%,56.7%,34.2%,46.0%,0.79
Best of 5,4,1,3,25.0%,5-10,33.3%,67-89,42.9%,3-3,50.0%,4,78.2%,7.8%,4.3%,1.2%,69.5%,65.7%,55.5%,62.6%,31.2%,47.1%,0.83
Best of 3,32,10,22,31.3%,22-48,31.4%,290-392,42.5%,6-4,60.0%,28,67.2%,15.8%,4.1%,2.7%,63.1%,64.3%,46.7%,57.8%,34.2%,46.5%,0.81
Quarter-finals,1,0,1,0.0%,1-2,33.3%,8-15,34.8%,0-0,-,1,63.6%,8.3%,2.1%,3.2%,63.2%,56.7%,48.6%,53.7%,24.6%,42.3%,0.53
vs Righties,30,10,20,33.3%,25-48,34.2%,315-407,43.6%,7-7,50.0%,26,70.3%,15.7%,4.1%,2.1%,64.6%,64.8%,48.4%,59.0%,34.5%,47.1%,0.84
vs Lefties,5,0,5,0.0%,0-10,0.0%,28-62,31.1%,0-0,-,5,57.8%,4.4%,5.0%,3.6%,62.9%,58.9%,42.0%,52.6%,25.2%,40.3%,0.53
