Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),115,571,137,1652,165,1571,99,1637,87,1594,,,,
2025,111,557,130,1657,177,1539,104,1640,87,1596,,,,
2024,154,380,181,1576,240,1470,152,1568,131,1529,266,250,,
2023,103,630,191,1552,253,1440,152,1549,116,1546,,,,
2022,230,239,213,1530,236,1457,197,1508,177,1454,,,,
2021,147,458,160,1597,236,1441,132,1582,115,1551,,,,
2020,254,214,242,1450,255,1380,215,1429,,,303,184,,
2019,322,124,405,1328,378,1313,347,1327,255,1329,518,74,,
2018,345,62,303,1402,305,1349,278,1379,,,520,29,,
2017,563,52,,,,,,,,,483,108,,
2016,460,86,,,,,,,,,702,66,,
2015,724,34,,,,,,,,,684,73,,
2014,1855,1,,,,,,,,,,,,
