Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,8,4,4,50.0%,2,2,0,100.0%,2012,2020,Q3,6,0.98,1.4%,7.5%,65.3%,65.0%,36.8%,55.3%,43.9%,47.2%,43.6%
Roland Garros,4,Clay,5,1,4,20.0%,3,2,1,66.7%,2012,2020,Q2,2,0.88,3.6%,9.4%,62.0%,59.7%,41.1%,52.6%,41.6%,53.8%,36.4%
Wimbledon,4,Grass,6,2,4,33.3%,1,0,1,0.0%,2012,2023,Q3,2,0.75,3.0%,4.2%,67.3%,56.8%,40.7%,51.5%,36.3%,59.1%,66.7%
US Open,5,Hard,6,1,5,16.7%,1,1,0,100.0%,2012,2021,Q2,5,0.75,3.6%,4.6%,61.0%,51.6%,37.0%,45.9%,40.5%,44.9%,56.0%
Fed Cup,3,,7,2,5,28.6%,2,0,2,0.0%,2012,2019,,2,0.63,3.2%,6.3%,58.9%,42.9%,41.0%,42.1%,36.3%,50.0%,27.3%
Saint Malo 125,2,Clay,3,1,2,33.3%,1,0,1,0.0%,2023,2024,Q2,3,1.08,0.4%,8.4%,65.4%,56.4%,45.1%,52.5%,51.5%,47.2%,44.0%
Istanbul,2,Clay,3,1,2,33.3%,1,1,0,100.0%,2018,2020,Q2,3,0.94,1.5%,7.6%,67.6%,55.4%,38.8%,50.0%,47.1%,32.3%,41.9%
Auckland,3,Hard,10,6,4,60.0%,4,3,1,75.0%,2012,2020,R16,9,1.05,2.6%,6.6%,64.1%,60.4%,47.7%,55.8%,46.2%,53.6%,45.6%
Taipei,2,Hard,5,3,2,60.0%,1,1,0,100.0%,2018,2019,SF,5,1.08,2.6%,6.3%,68.4%,66.8%,39.6%,58.2%,45.1%,69.8%,42.9%
Luxembourg,3,Hard,10,6,4,60.0%,1,1,0,100.0%,2011,2019,QF,3,0.78,2.1%,4.1%,65.6%,59.4%,41.8%,53.3%,36.6%,58.6%,46.2%
Rabat,2,Clay,3,1,2,33.3%,0,0,0,-,2018,2019,Q2,3,0.91,0.8%,8.3%,67.6%,52.8%,41.0%,49.0%,46.3%,51.4%,50.0%
