Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,16,5,11,31.3%,12-25,32.4%,145-193,42.9%,1-3,25.0%,8,40.3%,25.0%,1.9%,7.9%,64.3%,49.5%,39.9%,46.1%,39.9%,42.9%,0.74
Clay,2,1,1,50.0%,2-2,50.0%,15-18,45.5%,0-0,-,2,37.5%,52.9%,0.0%,12.7%,60.9%,52.2%,34.9%,45.5%,48.2%,46.9%,0.88
Grass,3,1,2,33.3%,2-4,33.3%,29-35,45.3%,0-0,-,3,56.3%,34.4%,1.4%,4.5%,71.6%,59.1%,38.1%,53.2%,44.3%,48.8%,0.95
Premiers,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-1,0.0%,1,55.6%,20.0%,0.0%,9.2%,68.4%,55.8%,37.5%,50.0%,36.1%,43.2%,0.72
Internationals,13,5,8,38.5%,9-18,33.3%,105-140,42.9%,1-0,100.0%,10,45.1%,35.1%,1.4%,7.6%,66.6%,53.7%,38.4%,48.6%,44.0%,46.3%,0.86
Quarter-finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,
vs Righties,17,6,11,35.3%,13-24,35.1%,148-195,43.1%,1-3,25.0%,11,43.8%,32.7%,0.9%,8.3%,66.3%,53.0%,37.7%,47.9%,42.6%,45.2%,0.82
vs Lefties,3,1,2,33.3%,2-5,28.6%,28-34,45.2%,0-0,-,2,47.4%,25.0%,4.8%,4.0%,63.5%,51.2%,43.5%,48.4%,40.2%,44.2%,0.78
vs Top 10,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,44.4%,22.2%,1.6%,17.7%,61.3%,60.5%,25.0%,46.8%,41.2%,43.8%,0.77
