Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,7,1,6,14.3%,4-9,30.8%,57-69,45.2%,1-0,100.0%,0,,,,,,,,,,,,R16 (W15 Kursumlijska Banja)
2023,47,27,20,57.4%,60-47,56.1%,545-504,52.0%,9-9,50.0%,0,,,,,,,,,,,,SF (2x)
2022,40,21,19,52.5%,48-46,51.1%,422-442,48.8%,3-3,50.0%,2,50.0%,22.7%,2.0%,8.7%,45.3%,61.8%,37.8%,48.7%,41.9%,45.2%,0.82,SF (2x)
2021,60,46,14,76.7%,99-41,70.7%,745-527,58.6%,10-4,71.4%,0,,,,,,,,,,,,W (4x)
2020,9,6,3,66.7%,12-9,57.1%,107-98,52.2%,2-0,100.0%,0,,,,,,,,,,,,F (W15 Stuttgart-Stammheim)
2019,23,13,10,56.5%,30-24,55.6%,273-236,53.6%,3-1,75.0%,0,,,,,,,,,,,,F (W25 Khimki)
2018,22,12,10,54.5%,25-24,51.0%,218-217,50.1%,1-0,100.0%,0,,,,,,,,,,,,F (Setubal $25K)
2017,50,28,22,56.0%,60-49,55.0%,525-471,52.7%,3-3,50.0%,0,,,,,,,,,,,,W (Cairo $15K)
2016,36,17,19,47.2%,36-41,46.8%,337-341,49.7%,2-2,50.0%,0,,,,,,,,,,,,W (Sharm El Sheikh $10K)
2015,64,44,20,68.8%,92-48,65.7%,739-524,58.5%,7-7,50.0%,0,,,,,,,,,,,,W (Tunis $10K)
2014,56,39,17,69.6%,80-41,66.1%,633-459,58.0%,5-7,41.7%,0,,,,,,,,,,,,W (2x)
2013,22,9,13,40.9%,24-25,49.0%,229-230,49.9%,2-1,66.7%,0,,,,,,,,,,,,QF (2x)
2012,4,2,2,50.0%,4-5,44.4%,42-48,46.7%,2-0,100.0%,0,,,,,,,,,,,,QF (Solin 10K)
2011,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (Sarajevo 10K)
Career,441,265,176,60.1%,574-411,58.3%,4876-4178,53.9%,50-37,57.5%,2,50.0%,22.7%,2.0%,8.7%,45.3%,61.8%,37.8%,48.7%,41.9%,45.2%,0.82,
