Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Brussels R16,L vs Collignon,31.0%,48.7%,56.6%,41.2%,38.1%,57.1%,61.5%,51.9%,32.4%,34.0%,0.0%,11.1%,25.9%,45.8%,-4
2025 Shanghai R64,L vs Musetti,12.5%,29.2%,45.0%,22.1%,23.1%,53.8%,60.0%,40.8%,38.5%,53.8%,60.0%,0.0%,0.0%,30.0%,-118
2025 Davis Cup Qualifiers RR,L vs De Jong,32.8%,39.3%,35.9%,39.0%,35.7%,45.2%,40.7%,44.8%,27.3%,30.0%,0.0%,29.4%,29.4%,25.0%,80
2025 Cincinnati R16,L vs Rublev,34.6%,40.4%,24.1%,36.5%,57.1%,64.3%,25.0%,60.7%,53.3%,38.5%,100.0%,10.5%,15.8%,23.5%,-26
2025 Canada R32,L vs De Minaur,27.6%,37.9%,42.9%,32.8%,37.1%,54.3%,54.5%,45.7%,38.9%,23.5%,0.0%,18.8%,18.8%,23.1%,25
2025 Gstaad QF,L vs Bublik,32.1%,43.4%,51.5%,42.3%,34.1%,48.8%,63.0%,47.3%,33.3%,40.0%,0.0%,33.3%,33.3%,0.0%,157
2025 Hamburg R32,L vs Etcheverry,23.1%,41.5%,48.9%,31.8%,30.6%,55.6%,64.0%,46.4%,33.3%,60.0%,100.0%,15.4%,26.9%,31.8%,34
2025 Rome R64,L vs Rune,21.9%,35.4%,53.5%,29.7%,23.7%,39.0%,57.8%,36.4%,31.3%,48.1%,33.3%,21.2%,33.3%,46.2%,85
2025 Madrid R64,W vs Fils,33.3%,40.7%,42.3%,36.5%,40.4%,48.9%,46.4%,46.0%,36.4%,40.0%,33.3%,25.0%,31.3%,37.5%,10
2025 Miami R128,L vs Cina,39.2%,51.9%,45.7%,45.3%,43.4%,54.7%,43.3%,52.5%,52.0%,25.0%,0.0%,33.3%,50.0%,50.0%,37
2025 Rio de Janeiro SF,L vs Muller,23.8%,39.0%,47.4%,31.6%,30.2%,52.4%,54.5%,43.2%,40.7%,44.4%,50.0%,15.8%,21.1%,37.5%,39
2025 Rio de Janeiro QF,W vs Zverev,22.3%,37.2%,55.6%,28.8%,26.8%,46.4%,61.0%,37.7%,37.0%,37.9%,0.0%,16.2%,24.3%,48.4%,-39
2024 Wimbledon R32,L vs Musetti,21.3%,32.3%,54.6%,30.2%,25.5%,37.8%,57.5%,39.6%,33.3%,36.0%,28.6%,14.8%,24.1%,50.0%,1
2024 Wimbledon R128,W vs Rublev,42.6%,50.7%,44.7%,47.4%,53.7%,61.1%,43.2%,60.5%,42.6%,25.0%,16.7%,17.9%,28.2%,46.9%,-5
2022 Corrientes CH F,W vs Navone,17.0%,30.2%,51.2%,26.0%,22.5%,37.5%,51.6%,34.5%,70.0%,55.0%,33.3%,0.0%,8.3%,50.0%,-118
Career (15 matches),,28.2%,40.4%,48.6%,35.3%,35.1%,50.1%,53.9%,46.3%,39.0%,37.5%,30.0%,17.4%,25.6%,40.2%,55
