Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Brussels R16,L vs Collignon,1.9%,50.0%,12.8%,74.1%,22.3%,34.3%,22.2%,5.0%,17.6%,2.0%,16.7%,21,31
2025 Shanghai R64,L vs Musetti,10.9%,60.0%,28.6%,57.7%,3.2%,5.0%,0.0%,2.7%,10.0%,4.5%,44.4%,-81,-69
2025 Davis Cup Qualifiers RR,L vs De Jong,3.7%,0.0%,21.1%,54.2%,12.1%,6.3%,0.0%,3.4%,20.0%,1.8%,0.0%,-11,17
2025 Cincinnati R16,L vs Rublev,2.4%,100.0%,3.0%,33.3%,10.0%,0.0%,0.0%,15.4%,25.0%,1.1%,0.0%,-15,20
2025 Canada R32,L vs De Minaur,0.0%,-,2.7%,33.3%,5.7%,25.0%,0.0%,5.9%,40.0%,1.6%,66.7%,-8,38
2025 Gstaad QF,L vs Bublik,15.6%,71.4%,15.7%,61.1%,14.3%,16.7%,20.0%,30.0%,60.0%,4.9%,40.0%,12,-20
2025 Hamburg R32,L vs Etcheverry,1.6%,100.0%,10.0%,64.3%,12.4%,19.0%,16.7%,7.7%,33.3%,4.3%,50.0%,-41,-31
2025 Rome R64,L vs Rune,1.1%,100.0%,12.9%,76.7%,10.2%,20.7%,11.1%,8.1%,31.3%,3.3%,21.4%,-45,-38
2025 Madrid R64,W vs Fils,1.4%,100.0%,9.2%,85.7%,13.7%,6.3%,33.3%,7.8%,25.0%,2.6%,0.0%,-61,-11
2025 Miami R128,L vs Cina,0.0%,-,9.2%,80.0%,18.1%,33.3%,0.0%,12.0%,28.6%,1.4%,33.3%,-26,20
2025 Rio de Janeiro SF,L vs Muller,6.0%,100.0%,14.7%,87.5%,9.7%,12.8%,16.7%,3.8%,16.7%,2.3%,50.0%,-1,6
2025 Rio de Janeiro QF,W vs Zverev,5.6%,80.0%,14.7%,88.0%,13.5%,16.7%,25.0%,5.0%,11.1%,4.8%,50.0%,29,7
2024 Wimbledon R32,L vs Musetti,8.7%,69.2%,19.3%,78.9%,9.8%,14.0%,9.1%,8.2%,31.3%,3.9%,31.6%,10,-7
2024 Wimbledon R128,W vs Rublev,4.3%,60.0%,12.0%,71.9%,15.7%,29.2%,33.3%,7.3%,13.6%,3.5%,58.3%,-42,35
2022 Corrientes CH F,W vs Navone,0.0%,-,11.3%,72.7%,10.2%,35.0%,9.1%,4.6%,12.5%,2.0%,40.0%,-71,-56
Career (15 matches),,4.3%,71.4%,13.4%,73.4%,12.3%,19.3%,14.4%,6.5%,22.6%,3.1%,38.0%,-20,-3
