Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,5,2,3,40.0%,2,1,1,50.0%,2024,2026,R64,5,0.99,12.2%,3.7%,62.7%,75.5%,50.8%,66.3%,33.3%,62.5%,36.8%
Roland Garros,1,Clay,1,0,1,0.0%,1,0,1,0.0%,2025,2025,R128,1,0.79,6.6%,2.8%,55.7%,66.1%,40.4%,54.7%,35.6%,37.5%,28.6%
Wimbledon,2,Grass,4,2,2,50.0%,5,3,2,60.0%,2024,2025,R32,4,0.91,9.5%,3.8%,63.1%,70.7%,52.4%,64.0%,32.8%,72.5%,36.0%
US Open,4,Hard,9,5,4,55.6%,4,2,2,50.0%,2022,2025,R32,9,1.06,8.9%,4.8%,59.8%,77.1%,42.8%,63.3%,38.9%,54.9%,45.5%
Davis Cup,1,,1,0,1,0.0%,0,0,0,-,2025,2025,,0,,,,,,,,,,
Miami Masters,2,Hard,4,2,2,50.0%,3,1,2,33.3%,2025,2026,R128,4,0.99,10.6%,5.3%,62.6%,70.9%,49.6%,62.9%,36.8%,70.0%,39.1%
Santiago,3,Clay,7,3,4,42.9%,7,5,2,71.4%,2024,2026,R16,7,0.94,9.0%,5.1%,59.5%,70.9%,49.2%,62.1%,35.7%,61.3%,31.8%
Rio de Janeiro,2,Clay,5,3,2,60.0%,6,4,2,66.7%,2025,2026,SF,5,1.01,8.8%,3.3%,61.6%,76.6%,51.3%,66.9%,33.5%,62.9%,29.3%
Buenos Aires,3,Clay,4,1,3,25.0%,1,0,1,0.0%,2024,2026,R32,4,1.00,8.6%,3.9%,65.9%,72.6%,49.4%,64.7%,35.2%,50.0%,35.3%
Auckland,2,Hard,5,2,3,40.0%,1,0,1,0.0%,2025,2026,R16,5,0.95,7.7%,3.7%,67.2%,70.5%,46.0%,62.4%,35.6%,64.5%,34.6%
Winston-Salem,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,R64,2,0.63,6.7%,4.8%,61.0%,60.9%,29.3%,48.6%,32.7%,43.8%,50.0%
