Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2023,468,90,,,,,,,,,,,,
2022,830,20,181,1579,153,1559,153,1564,87,1588,,,,
2021,106,731,102,1685,99,1642,101,1643,40,1693,,,,
2020,64,998,71,1738,64,1695,66,1697,,,63,1465,,
2019,62,888,57,1786,63,1727,53,1723,17,1777,55,1490,33,1777
2018,64,795,39,1808,45,1741,38,1766,22,1782,32,2390,40,1738
2017,36,1295,31,1880,36,1788,32,1817,14,1849,24,3090,35,1753
2016,28,1410,31,1868,31,1820,33,1803,28,1782,11,4640,24,1791
2015,17,1690,25,1887,23,1844,36,1793,19,1814,35,1995,39,1746
2014,14,2130,20,1910,24,1839,33,1808,12,1873,52,1460,56,1684
2013,28,1310,28,1872,33,1801,33,1806,15,1822,132,540,91,1599
2012,40,1005,37,1856,37,1791,34,1803,23,1781,178,360,83,1612
2011,20,1755,21,1920,30,1835,20,1860,12,1841,131,620,103,1582
2010,32,1300,50,1811,46,1748,55,1740,24,1756,101,765,71,1630
2009,47,905,46,1805,41,1763,60,1734,37,1719,78,995,51,1679
2008,30,1005,28,1877,26,1830,36,1786,27,1769,42,1185,66,1651
2007,35,840,41,1820,40,1766,41,1771,37,1714,206,285,92,1551
2006,79,491,73,1723,86,1642,52,1724,47,1668,129,420,74,1595
2005,33,910,41,1817,43,1750,45,1766,24,1743,65,890,39,1702
2004,25,1185,26,1881,23,1832,34,1798,36,1729,40,1310,44,1680
2003,28,1110,16,1905,26,1834,36,1809,25,1745,89,620,110,1470
2002,62,633,80,1743,69,1705,108,1638,65,1641,340,110,,
2001,159,242,206,1553,219,1476,178,1533,,,177,328,,
2000,271,121,197,1563,189,1506,187,1519,167,1477,407,96,,
1999,279,138,,,,,,,,,492,82,,
1998,546,40,,,,,,,,,557,58,,
1997,570,38,,,,,,,,,597,55,,
1996,1300,,,,,,,,,,,,,
