Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Barcelona R64,L vs Goffin,25.2%,35.5%,45.3%,29.7%,45.8%,58.3%,50.0%,55.8%,28.6%,25.9%,66.7%,9.3%,18.5%,42.9%,-25
2023 Acapulco R32,W vs Eubanks,45.8%,59.7%,47.2%,51.8%,61.9%,73.8%,50.0%,72.1%,17.6%,40.0%,0.0%,25.9%,44.4%,45.0%,72
2022 Wimbledon R128,L vs Van De Zandschulp,35.1%,48.6%,32.6%,41.6%,51.4%,67.6%,50.0%,64.3%,42.1%,44.4%,33.3%,21.9%,34.4%,20.0%,90
2022 Barcelona R64,L vs Ruusuvuori,23.3%,30.2%,27.6%,28.4%,40.0%,53.3%,55.6%,54.7%,50.0%,57.1%,0.0%,16.7%,20.8%,15.0%,39
2022 Australian Open R128,L vs Millman,35.6%,49.2%,35.0%,42.3%,48.7%,66.7%,47.5%,60.0%,32.4%,31.7%,14.3%,18.4%,26.5%,22.5%,61
2021 Tenerife CH F,L vs Griekspoor,29.2%,40.0%,47.6%,36.6%,37.5%,52.5%,48.0%,49.5%,11.8%,26.1%,20.0%,19.0%,23.8%,47.1%,58
2021 Tenerife CH R32,W vs Svrcina,32.6%,45.3%,45.8%,39.4%,48.2%,62.5%,55.2%,59.6%,31.0%,37.0%,50.0%,11.8%,23.5%,36.7%,-5
2021 Villena CH R16,L vs Grenier,29.6%,42.0%,41.5%,36.8%,40.9%,59.1%,50.0%,54.1%,31.6%,36.0%,50.0%,18.2%,24.2%,33.3%,60
2021 Villena CH R32,W vs Marcora,56.1%,65.9%,52.9%,61.0%,72.0%,88.0%,57.1%,80.0%,18.2%,50.0%,-,33.3%,33.3%,50.0%,16
2021 US Open R128,L vs Zapata Miralles,41.9%,58.1%,56.8%,50.4%,56.2%,77.5%,64.1%,70.9%,12.5%,57.1%,50.0%,30.0%,42.0%,48.6%,132
2021 Gstaad R16,L vs Ymer,39.3%,55.4%,53.2%,46.7%,56.5%,77.4%,59.3%,69.8%,32.0%,43.2%,-,20.5%,31.8%,48.6%,80
2021 Wimbledon R128,L vs Evans,31.9%,47.3%,51.7%,41.8%,41.5%,64.2%,58.1%,58.5%,30.4%,60.0%,100.0%,20.6%,26.5%,44.4%,80
2021 Australian Open R32,L vs Rublev,44.9%,53.8%,38.9%,49.6%,54.5%,65.9%,40.0%,63.0%,28.6%,34.8%,66.7%,40.7%,48.1%,37.5%,233
2021 Australian Open R64,W vs Sonego,42.9%,58.4%,51.2%,49.2%,57.6%,76.1%,53.8%,68.2%,26.8%,56.9%,66.7%,22.4%,34.5%,48.9%,19
2021 Australian Open R128,W vs Tu,42.3%,53.8%,62.5%,47.2%,58.1%,72.6%,69.2%,68.2%,33.3%,40.0%,0.0%,33.3%,43.9%,57.9%,166
2020 Auckland QF,L vs Hurkacz,35.6%,46.2%,52.5%,43.4%,50.0%,65.0%,63.3%,63.5%,40.0%,65.7%,80.0%,19.4%,25.0%,41.4%,57
2019 US Open R32,L vs Medvedev,23.6%,40.0%,54.6%,31.9%,37.3%,60.2%,59.6%,53.9%,41.9%,36.5%,33.3%,10.7%,21.3%,50.7%,-11
2019 US Open R64,W vs Nishioka,43.0%,50.5%,63.5%,45.4%,72.0%,80.0%,50.0%,77.2%,22.7%,35.7%,100.0%,20.8%,29.2%,68.4%,75
2019 Queens Club F,W vs Simon,40.7%,51.9%,50.0%,44.8%,60.7%,67.2%,41.7%,67.9%,59.3%,38.2%,0.0%,16.3%,34.9%,55.6%,46
2019 Queens Club SF,W vs Auger Aliassime,43.4%,58.5%,52.6%,50.7%,56.5%,75.4%,53.3%,67.7%,42.4%,55.6%,100.0%,20.6%,29.4%,51.9%,44
Career (65 matches),,36.4%,48.7%,49.3%,42.8%,50.2%,65.8%,53.8%,61.4%,35.2%,47.8%,48.3%,19.8%,28.7%,45.0%,77
