Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 Barcelona R64,L vs Goffin,64% (9/14),100% (3/3),1/1,0/0,57% (8/14),0/2,0/1,73% (8/11),20% (2/10)
2023 Acapulco R32,W vs Eubanks,83% (10/12),25% (2/8),2/3,1/2,88% (7/8),4/4,0/0,80% (4/5),60% (3/5)
2022 Wimbledon R128,L vs Van De Zandschulp,62% (8/13),0% (0/2),0/0,0/0,29% (2/7),2/5,0/1,- (0/0),- (0/0)
2022 Barcelona R64,L vs Ruusuvuori,25% (1/4),- (0/0),0/0,0/0,44% (4/9),1/3,0/1,- (0/0),- (0/0)
2022 Australian Open R128,L vs Millman,57% (13/23),29% (2/7),1/2,0/0,71% (15/21),1/4,1/2,- (0/0),- (0/0)
2021 Tenerife CH F,L vs Griekspoor,88% (7/8),17% (1/6),0/0,0/0,63% (5/8),3/5,1/2,- (0/0),- (0/0)
2021 Tenerife CH R32,W vs Svrcina,53% (10/19),38% (3/8),2/3,1/2,63% (5/8),0/1,0/0,- (0/0),- (0/0)
2021 Villena CH R16,L vs Grenier,42% (8/19),0% (0/5),0/0,0/0,75% (6/8),3/5,2/3,- (0/0),- (0/0)
2021 Villena CH R32,W vs Marcora,89% (8/9),44% (4/9),2/4,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 US Open R128,L vs Zapata Miralles,72% (23/32),40% (2/5),2/4,0/0,57% (4/7),1/4,0/1,71% (5/7),14% (1/7)
2021 Gstaad R16,L vs Ymer,65% (15/23),17% (1/6),1/3,0/2,33% (1/3),4/6,0/1,53% (8/15),47% (7/15)
2021 Wimbledon R128,L vs Evans,68% (13/19),0% (0/3),0/0,0/0,25% (1/4),0/3,0/1,40% (2/5),33% (2/6)
2021 Roland Garros R128,L vs Coria,67% (10/15),100% (1/1),0/0,0/0,50% (5/10),2/5,0/1,67% (4/6),0% (0/5)
2021 Australian Open R32,L vs Rublev,91% (10/11),0% (0/3),0/0,0/0,56% (5/9),2/5,0/1,- (0/0),- (0/0)
2021 Australian Open R64,W vs Sonego,77% (24/31),100% (3/3),3/3,1/1,82% (9/11),3/5,0/0,- (0/0),- (0/0)
2021 Australian Open R128,W vs Tu,69% (20/29),67% (4/6),3/3,1/1,50% (2/4),0/1,0/0,70% (7/10),11% (1/9)
2020 Roland Garros R128,L vs Altmaier,48% (11/23),25% (3/12),0/0,0/0,67% (10/15),3/6,3/4,25% (1/4),0% (0/4)
2020 US Open R128,L vs Carballes Baena,81% (17/21),50% (2/4),1/1,0/0,71% (10/14),1/4,0/1,67% (4/6),17% (1/6)
2020 Australian Open R128,L vs Bautista Agut,67% (8/12),20% (1/5),0/0,0/0,40% (4/10),1/4,1/2,- (0/0),- (0/0)
2020 Auckland QF,L vs Hurkacz,87% (13/15),100% (1/1),1/3,0/0,70% (7/10),7/9,6/7,67% (8/12),42% (5/12)
2023 (2 matches),,73.1%,45.5%,75.0%,50.0%,68.2%,66.7%,0.0%,75.0%,33.3%
2022 (3 matches),,55.0%,22.2%,50.0%,-,56.8%,33.3%,25.0%,-,-
2021 (11 matches),,68.8%,34.5%,65.0%,44.4%,59.7%,45.0%,30.0%,60.5%,26.2%
2020 (4 matches),,69.0%,31.8%,50.0%,-,63.3%,52.2%,71.4%,59.1%,27.3%
2019 (20 matches),,70.1%,31.9%,48.3%,52.6%,68.9%,45.5%,60.0%,66.3%,25.0%
Career (387 matches),,68.0%,33.8%,53.9%,51.9%,66.6%,48.5%,45.8%,68.4%,31.9%
