Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Barcelona R64,L vs Goffin,20% (3/15),100% (3/3),1/6,47% (7/15),14% (1/7),2/3,0/1,1/1,0/0,1/1
2023 Acapulco R32,W vs Eubanks,36% (4/11),50% (2/4),0/1,27% (3/11),67% (2/3),0/1,0/0,2/2,0/0,0/0
2022 Wimbledon R128,L vs Van De Zandschulp,8% (1/13),0% (0/1),0/4,46% (6/13),17% (1/6),0/0,0/0,1/2,0/0,0/0
2022 Barcelona R64,L vs Ruusuvuori,0% (0/7),- (0/0),0/4,83% (5/6),0% (0/5),0/0,0/0,0/1,0/0,0/0
2022 Australian Open R128,L vs Millman,26% (5/19),40% (2/5),0/4,58% (11/19),45% (5/11),1/2,1/2,1/3,0/0,1/2
2021 Tenerife CH F,L vs Griekspoor,30% (3/10),33% (1/3),0/3,50% (5/10),40% (2/5),1/1,0/0,3/3,0/0,2/2
2021 Tenerife CH R32,W vs Svrcina,43% (6/14),50% (3/6),0/3,46% (6/13),50% (3/6),2/2,1/1,0/0,0/0,0/0
2021 Villena CH R16,L vs Grenier,27% (3/11),0% (0/3),0/2,50% (5/10),60% (3/5),0/0,0/0,1/1,0/0,0/0
2021 Villena CH R32,W vs Marcora,50% (4/8),100% (4/4),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,0/0,0/0
2021 US Open R128,L vs Zapata Miralles,8% (2/26),100% (2/2),0/2,19% (5/26),40% (2/5),1/1,1/1,1/2,0/0,0/1
2021 Gstaad R16,L vs Ymer,18% (3/17),33% (1/3),0/2,18% (3/17),33% (1/3),1/1,0/0,4/4,0/0,1/1
2021 Wimbledon R128,L vs Evans,13% (2/16),0% (0/2),0/1,25% (4/16),25% (1/4),0/0,0/0,1/3,0/0,1/2
2021 Roland Garros R128,L vs Coria,7% (1/14),100% (1/1),0/4,47% (7/15),29% (2/7),1/1,0/0,2/3,0/0,0/0
2021 Australian Open R32,L vs Rublev,13% (2/15),0% (0/2),0/2,36% (5/14),20% (1/5),0/0,0/0,2/4,0/0,1/1
2021 Australian Open R64,W vs Sonego,12% (3/26),100% (3/3),0/1,15% (4/26),50% (2/4),3/3,3/3,3/4,1/1,1/1
2021 Australian Open R128,W vs Tu,18% (4/22),100% (4/4),1/2,14% (3/22),33% (1/3),2/3,1/1,2/2,0/0,0/0
2020 Roland Garros R128,L vs Altmaier,44% (7/16),43% (3/7),2/5,44% (7/16),29% (2/7),2/3,0/0,3/3,0/0,0/0
2020 US Open R128,L vs Carballes Baena,11% (2/19),100% (2/2),1/3,38% (8/21),50% (4/8),2/2,1/1,3/4,0/0,0/1
2020 Australian Open R128,L vs Bautista Agut,21% (3/14),33% (1/3),0/6,50% (7/14),14% (1/7),0/1,0/0,2/2,0/0,1/1
2020 Auckland QF,L vs Hurkacz,6% (1/16),100% (1/1),1/2,25% (4/16),25% (1/4),1/1,0/0,3/4,0/0,3/3
2023 (2 matches),,26.9%,71.4%,14.3%,38.5%,30.0%,50.0%,0.0%,100.0%,-,100.0%
2022 (3 matches),,15.4%,33.3%,0.0%,57.9%,27.3%,50.0%,50.0%,33.3%,-,50.0%
2021 (11 matches),,18.4%,57.6%,4.5%,26.6%,38.3%,93.3%,100.0%,73.1%,100.0%,75.0%
2020 (4 matches),,20.0%,53.8%,25.0%,38.8%,30.8%,71.4%,100.0%,84.6%,-,80.0%
2019 (20 matches),,26.6%,57.0%,16.7%,23.4%,46.4%,86.8%,84.2%,79.4%,100.0%,72.7%
Career (387 matches),,25.3%,57.9%,15.3%,27.5%,42.6%,84.3%,88.0%,82.5%,86.1%,75.4%
