Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2003,507,42,,,,,,,,,621,50,,
2002,152,248,70,1769,58,1735,71,1715,61,1643,433,77,,
2001,136,289,51,1832,44,1783,50,1763,42,1693,1263,6,,
2000,75,540,37,1869,29,1825,48,1779,41,1693,405,96,,
1999,95,498,51,1823,44,1781,62,1759,53,1675,514,77,,
1998,43,930,21,1937,20,1890,29,1855,12,1825,326,158,,
1997,25,1376,10,1997,13,1929,15,1928,,,166,389,,
1996,46,881,31,1895,33,1830,33,1855,32,1766,442,98,,
1995,17,,17,1937,21,1871,15,1905,,,66,984,,
1994,19,,4,2107,15,1940,16,1958,11,1900,39,1343,,
1993,39,,23,1944,32,1843,19,1904,28,1775,497,60,,
1992,34,,22,1959,64,1769,15,1955,29,1772,211,242,,
1991,61,,69,1799,67,1743,52,1787,82,1638,240,181,,
1990,56,,46,1847,70,1711,36,1828,67,1653,243,157,,
1989,145,,,,,,,,,,177,,,
1988,381,,,,,,,,,,711,,,
