Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
1998 Cincinnati SF,L vs Sampras,29% (4/14),50% (2/4),0/2,31% (4/13),25% (1/4),2/2,1/1,2/3,0/0,1/1
1997 US Open QF,L vs Rafter,20% (3/15),67% (2/3),0/5,33% (5/15),0% (0/5),1/2,0/0,4/4,0/0,0/0
1995 Miami SF,L vs Agassi,29% (5/17),60% (3/5),1/3,24% (4/17),25% (1/4),1/2,0/0,1/1,0/0,0/0
1995 Doha F,L vs Edberg,10% (1/10),0% (0/1),0/2,33% (3/9),33% (1/3),0/0,0/0,1/1,0/0,1/1
1994 Grand Slam Cup F,W vs Sampras,18% (4/22),50% (2/4),0/2,18% (4/22),50% (2/4),2/2,1/2,3/3,1/2,0/0
1998 (1 matches),,28.6%,50.0%,0.0%,30.8%,25.0%,100.0%,100.0%,66.7%,-,100.0%
1997 (1 matches),,20.0%,66.7%,0.0%,33.3%,0.0%,50.0%,-,100.0%,-,-
1995 (2 matches),,22.2%,50.0%,20.0%,26.9%,28.6%,50.0%,-,100.0%,-,100.0%
1994 (1 matches),,18.2%,50.0%,0.0%,18.2%,50.0%,100.0%,50.0%,100.0%,50.0%,-
Career (5 matches),,21.8%,52.9%,7.1%,26.3%,25.0%,75.0%,66.7%,91.7%,50.0%,100.0%
