Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
1998 Cincinnati SF,L vs Sampras,100% (10/10),40% (2/5),1/1,0/0,67% (6/9),1/3,0/1,- (0/0),- (0/0)
1997 US Open QF,L vs Rafter,67% (10/15),67% (2/3),0/0,0/0,38% (3/8),4/7,3/4,33% (2/6),40% (2/5)
1995 Miami SF,L vs Agassi,88% (14/16),50% (3/6),1/1,0/0,40% (2/5),3/5,0/1,25% (1/4),0% (0/4)
1995 Doha F,L vs Edberg,54% (7/13),0% (0/1),0/0,0/0,75% (6/8),6/8,6/7,60% (3/5),17% (1/6)
1994 Grand Slam Cup F,W vs Sampras,77% (20/26),33% (2/6),3/7,1/2,67% (4/6),1/2,0/0,92% (12/13),23% (3/13)
1998 (1 matches),,100.0%,40.0%,100.0%,-,66.7%,33.3%,0.0%,-,-
1997 (1 matches),,66.7%,66.7%,-,-,37.5%,57.1%,75.0%,33.3%,40.0%
1995 (2 matches),,72.4%,42.9%,100.0%,-,61.5%,69.2%,75.0%,44.4%,10.0%
1994 (1 matches),,76.9%,33.3%,42.9%,50.0%,66.7%,50.0%,-,92.3%,23.1%
Career (5 matches),,76.3%,42.9%,55.6%,50.0%,58.3%,60.0%,69.2%,64.3%,21.4%
