Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 Shenzhen R32,L vs Halep,31.4%,38.6%,37.0%,37.8%,48.9%,46.4%,77.3%,47.8%,50.0%,21.7%,21.7%,22.2%,44.4%,50.0%,100.0%,-7
2016 Hong Kong SF,L vs Wozniacki,7.0%,18.3%,47.5%,8.8%,17.6%,48.4%,50.0%,50.0%,40.0%,6.3%,21.9%,46.7%,52.9%,53.3%,50.0%,-55
2016 Guangzhou SF,W vs Konjuh,29.5%,35.9%,48.0%,33.3%,41.7%,59.4%,65.2%,32.0%,0.0%,28.0%,32.0%,27.8%,66.7%,25.0%,0.0%,97
2016 Mallorca R16,W vs Mertens,25.6%,37.2%,40.6%,30.5%,45.8%,43.9%,71.0%,50.0%,20.0%,14.8%,18.5%,34.8%,71.4%,40.0%,100.0%,-104
2016 Mallorca R32,W vs Konjuh,37.9%,43.1%,48.5%,37.8%,43.2%,52.2%,47.1%,50.0%,100.0%,44.4%,50.0%,40.0%,62.5%,30.0%,-,68
2016 Indian Wells R16,L vs Radwanska,10.2%,14.3%,39.5%,16.0%,20.0%,42.9%,71.4%,63.6%,0.0%,5.6%,11.1%,35.3%,25.0%,70.0%,75.0%,-71
2016 Brisbane R32,L vs Vinci,21.6%,28.9%,46.6%,26.0%,34.0%,43.2%,54.5%,53.6%,33.3%,18.2%,25.0%,50.0%,23.8%,4.3%,0.0%,-27
2015 Luxembourg QF,L vs Doi,22.4%,32.9%,42.9%,28.6%,42.9%,47.5%,62.5%,43.8%,50.0%,5.9%,5.9%,31.3%,16.7%,18.2%,0.0%,-61
2015 Cincinnati SF,L vs Halep,13.6%,20.3%,31.9%,17.1%,25.7%,34.5%,36.8%,31.3%,66.7%,10.0%,15.0%,27.8%,30.0%,40.0%,33.3%,-19
2015 Toronto R32,L vs Halep,24.6%,30.8%,53.3%,41.2%,52.9%,60.0%,41.2%,35.3%,50.0%,7.4%,7.4%,48.0%,7.7%,57.1%,100.0%,-44
2015 s Hertogenbosch R16,W vs Hlavackova,41.2%,51.0%,60.7%,57.7%,61.5%,72.7%,40.0%,62.5%,100.0%,26.1%,43.5%,52.9%,100.0%,30.8%,-,-7
2015 Miami R64,L vs Azarenka,9.1%,22.7%,36.1%,12.5%,29.2%,38.1%,54.5%,15.4%,33.3%,6.3%,18.8%,33.3%,37.5%,25.0%,100.0%,-61
2015 Indian Wells F,L vs Halep,14.0%,21.5%,43.7%,20.4%,31.5%,46.5%,30.8%,14.3%,37.5%,6.7%,10.0%,39.3%,29.4%,23.1%,50.0%,-60
2015 Indian Wells SF,W vs Lisicki,19.0%,27.8%,50.0%,15.6%,28.9%,52.6%,54.5%,43.5%,100.0%,28.6%,32.1%,45.0%,40.0%,22.2%,0.0%,79
2014 Tokyo R16,L vs Muguruza,22.2%,30.6%,34.0%,33.3%,46.7%,43.3%,36.8%,42.3%,0.0%,4.2%,4.2%,21.7%,33.3%,58.3%,66.7%,-76
2014 US Open R16,L vs Bencic,19.3%,27.3%,36.2%,17.7%,27.4%,37.3%,33.3%,34.2%,66.7%,25.0%,29.2%,33.3%,46.2%,36.4%,-,-11
2014 Cincinnati QF,L vs Williams,14.3%,16.3%,43.6%,11.5%,11.5%,47.8%,10.0%,56.3%,100.0%,20.0%,25.0%,37.5%,0.0%,55.6%,66.7%,53
2014 Dubai QF,L vs Williams,18.8%,23.2%,36.5%,26.7%,33.3%,36.4%,25.0%,28.0%,37.5%,5.0%,5.0%,36.8%,8.3%,12.5%,-,-71
2014 Australian Open R16,L vs Halep,15.5%,21.4%,43.3%,20.8%,30.2%,47.6%,38.5%,25.9%,14.3%,7.4%,7.4%,36.0%,27.3%,12.5%,0.0%,-39
2014 Brisbane QF,W vs Kerber,22.0%,36.3%,63.1%,25.9%,44.8%,69.8%,56.5%,31.4%,0.0%,18.5%,25.9%,50.0%,25.0%,46.7%,100.0%,56
Career (42 matches),,18.8%,25.7%,43.2%,22.2%,30.8%,46.4%,42.5%,42.1%,46.4%,15.2%,19.8%,37.4%,43.8%,36.9%,52.2%,33
