Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2017,25,6,19,24.0%,21-39,35.0%,262-313,45.6%,1-4,20.0%,25,64.1%,29.7%,4.3%,6.2%,60.2%,62.3%,42.5%,54.4%,40.3%,47.7%,0.88,R16 (Nanchang)
2016,46,23,23,50.0%,57-47,54.8%,515-468,52.4%,4-6,40.0%,45,64.8%,41.0%,3.8%,4.5%,62.6%,63.4%,43.7%,56.0%,46.3%,51.1%,1.05,F (Guangzhou)
2015,60,39,21,65.0%,83-53,61.0%,690-593,53.8%,7-5,58.3%,41,67.1%,37.8%,4.8%,5.9%,63.9%,64.7%,52.2%,60.2%,42.0%,50.9%,1.06,W (2x)
2014,60,38,22,63.3%,83-48,63.4%,685-539,56.0%,5-9,35.7%,56,-,-,3.8%,4.8%,62.9%,66.0%,46.7%,58.8%,46.3%,52.5%,1.13,F (Bogota)
2013,67,46,21,68.7%,102-59,63.4%,831-673,55.3%,12-6,66.7%,63,25.0%,72.7%,3.3%,4.8%,62.1%,63.5%,45.9%,56.8%,47.1%,51.9%,1.09,W (Bogota)
2012,62,32,30,51.6%,71-65,52.2%,662-630,51.2%,8-11,42.1%,54,-,-,3.8%,6.5%,61.0%,62.9%,44.0%,55.5%,45.8%,50.6%,1.03,F (2x)
2011,60,38,22,63.3%,89-51,63.6%,717-533,57.4%,3-2,60.0%,53,-,-,4.1%,5.9%,63.9%,65.2%,46.6%,58.5%,46.8%,52.5%,1.13,F (2x)
2010,61,38,23,62.3%,82-57,59.0%,696-601,53.7%,7-7,50.0%,51,-,-,3.4%,5.2%,65.1%,62.6%,44.8%,56.4%,47.0%,51.7%,1.08,W (Indian Wells)
2009,65,46,19,70.8%,98-47,67.6%,772-603,56.1%,13-6,68.4%,55,-,-,2.7%,4.7%,64.5%,63.1%,48.0%,57.7%,46.6%,52.2%,1.10,W (2x)
2008,88,68,20,77.3%,146-55,72.6%,1100-774,58.7%,10-7,58.8%,69,-,-,3.1%,5.0%,68.9%,63.4%,45.8%,58.0%,48.2%,53.1%,1.15,W (4x)
2007,103,77,26,74.8%,163-65,71.5%,1256-860,59.4%,10-11,47.6%,87,-,-,2.9%,4.4%,70.5%,63.8%,46.6%,58.8%,48.6%,53.5%,1.18,W (4x)
2006,73,45,28,61.6%,100-64,61.0%,857-703,54.9%,8-10,44.4%,46,-,-,3.4%,5.9%,68.1%,62.4%,43.5%,56.3%,46.3%,51.3%,1.06,F (Los Angeles)
2005,67,38,29,56.7%,89-66,57.4%,752-659,53.3%,3-6,33.3%,9,-,-,4.1%,4.9%,66.3%,62.8%,41.3%,55.6%,46.2%,51.0%,1.04,F (3x)
2004,56,30,26,53.6%,71-58,55.0%,613-582,51.3%,11-2,84.6%,5,-,-,1.3%,11.4%,68.5%,57.1%,32.8%,49.5%,48.8%,49.2%,0.97,W (Budapest)
2003,16,4,12,25.0%,15-24,38.5%,174-192,47.5%,0-4,0.0%,0,,,,,,,,,,,,QF (Budapest)
2002,8,3,5,37.5%,8-12,40.0%,85-93,47.8%,1-1,50.0%,0,,,,,,,,,,,,QF (Stanford)
2001,4,2,2,50.0%,5-5,50.0%,48-48,50.0%,1-0,100.0%,0,,,,,,,,,,,,
Career,921,573,348,62.2%,1283-815,61.2%,10715-8864,54.7%,104-97,51.7%,659,64.3%,38.3%,3.5%,5.2%,65.0%,63.6%,45.8%,57.3%,46.5%,51.9%,1.09,
