Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2017 Shenzhen R32,L vs Halep,0.0%,-,5.7%,55.6%,4.4%,7.4%,0.0%,11.7%,33.3%,0.0%,-,-31,2
2016 Hong Kong SF,L vs Wozniacki,0.0%,-,13.0%,61.1%,7.1%,9.8%,0.0%,14.9%,12.8%,1.7%,20.0%,-51,-56
2016 Guangzhou SF,W vs Konjuh,0.0%,-,5.2%,75.0%,5.2%,6.5%,0.0%,10.8%,16.7%,0.4%,0.0%,-111,-50
2016 Mallorca R16,W vs Mertens,0.0%,-,8.8%,73.3%,9.8%,8.9%,0.0%,11.7%,17.6%,0.6%,0.0%,-12,-3
2016 Mallorca R32,W vs Konjuh,0.0%,-,5.0%,83.3%,10.9%,19.0%,0.0%,13.6%,33.3%,3.4%,20.0%,24,55
2016 Indian Wells R16,L vs Radwanska,0.0%,-,11.6%,84.6%,7.7%,11.6%,0.0%,3.5%,10.0%,0.0%,-,-9,-6
2016 Brisbane R32,L vs Vinci,0.0%,-,17.3%,61.8%,6.0%,1.8%,0.0%,15.7%,35.6%,0.0%,-,3,9
2015 Luxembourg QF,L vs Doi,0.0%,-,13.0%,78.9%,5.8%,12.5%,0.0%,9.6%,18.8%,1.0%,0.0%,-63,-33
2015 Cincinnati SF,L vs Halep,0.0%,-,10.9%,54.5%,3.9%,9.1%,0.0%,13.0%,28.0%,0.5%,0.0%,-6,-25
2015 Toronto R32,L vs Halep,0.0%,-,9.0%,63.6%,8.3%,16.7%,0.0%,5.6%,6.7%,0.0%,-,6,28
2015 s Hertogenbosch R16,W vs Hlavackova,0.0%,-,7.9%,75.0%,18.5%,22.2%,0.0%,20.7%,45.5%,0.0%,-,91,106
2015 Miami R64,L vs Azarenka,0.0%,-,5.7%,100.0%,6.1%,12.0%,100.0%,16.2%,43.8%,0.4%,0.0%,-19,-33
2015 Indian Wells F,L vs Halep,1.1%,100.0%,14.0%,75.0%,3.1%,4.5%,0.0%,8.9%,22.0%,0.4%,50.0%,-53,-39
2015 Indian Wells SF,W vs Lisicki,0.0%,-,11.3%,73.7%,3.6%,4.5%,0.0%,11.7%,28.6%,0.6%,0.0%,-93,-78
2014 Tokyo R16,L vs Muguruza,0.0%,-,6.9%,66.7%,11.2%,13.4%,0.0%,14.5%,38.9%,0.3%,0.0%,53,63
2014 US Open R16,L vs Bencic,0.0%,-,7.4%,61.5%,7.9%,11.6%,0.0%,10.7%,17.0%,0.8%,0.0%,-41,-35
2014 Cincinnati QF,L vs Williams,0.0%,-,2.2%,50.0%,7.9%,14.3%,0.0%,17.9%,42.9%,0.7%,0.0%,-34,-30
2014 Dubai QF,L vs Williams,0.0%,-,7.4%,66.7%,5.6%,7.1%,0.0%,8.8%,13.6%,0.0%,-,-10,-8
2014 Australian Open R16,L vs Halep,0.0%,-,16.7%,60.0%,5.3%,13.3%,0.0%,8.3%,15.2%,0.3%,0.0%,-29,-32
2014 Brisbane QF,W vs Kerber,0.0%,-,7.9%,76.5%,11.6%,20.0%,0.0%,15.6%,25.8%,0.3%,0.0%,1,8
Career (42 matches),,0.0%,100.0%,9.1%,67.3%,6.7%,10.0%,4.7%,10.2%,19.0%,0.5%,8.8%,-46,-36
