Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2009 Umag F,L vs Davydenko,1.9%,0.0%,7.2%,57.1%,10.5%,22.2%,0.0%,2.6%,8.3%,1.6%,33.3%,-74,-109
2009 Casablanca F,W vs Serra,0.0%,-,5.8%,100.0%,6.3%,9.5%,0.0%,7.2%,30.8%,0.3%,100.0%,-81,-65
2007 Canada R64,L vs Hewitt,1.4%,0.0%,10.8%,62.5%,6.7%,10.0%,0.0%,5.1%,12.9%,1.7%,80.0%,-81,-46
2007 Wimbledon QF,L vs Federer,0.9%,0.0%,7.7%,72.2%,8.0%,16.2%,0.0%,5.0%,23.1%,0.3%,0.0%,-62,-43
2007 Monte Carlo SF,L vs Federer,0.0%,-,7.0%,37.5%,10.2%,11.1%,13.3%,5.3%,26.7%,0.4%,100.0%,-116,-120
2006 Cincinnati F,L vs Roddick,0.0%,-,4.6%,80.0%,10.4%,21.1%,0.0%,12.3%,44.4%,1.3%,0.0%,-15,-12
2006 Cincinnati SF,W vs Robredo,0.0%,-,4.9%,57.1%,14.6%,13.8%,0.0%,7.1%,60.0%,0.0%,-,-70,-30
2005 Wimbledon R16,L vs Federer,0.0%,-,4.7%,60.0%,6.5%,17.5%,0.0%,7.6%,25.0%,1.1%,75.0%,-76,-56
2005 Barcelona F,L vs Nadal,1.0%,100.0%,14.6%,74.2%,5.3%,9.3%,4.3%,5.3%,6.7%,1.4%,37.5%,-66,-70
2005 Monte Carlo SF,L vs Coria,0.0%,-,11.9%,71.4%,5.9%,0.0%,0.0%,6.5%,14.8%,1.4%,16.7%,-71,-89
2004 Rotterdam F,L vs Hewitt,2.8%,100.0%,9.7%,72.7%,8.0%,12.4%,6.7%,6.1%,15.0%,0.7%,75.0%,-41,-50
2004 Australian Open SF,L vs Federer,0.0%,-,7.8%,66.7%,11.5%,10.3%,0.0%,9.1%,41.7%,0.5%,100.0%,-43,-59
2003 Davis Cup World Group F RR,L vs Hewitt,1.3%,100.0%,8.0%,80.0%,7.8%,14.9%,14.3%,6.0%,13.3%,0.9%,80.0%,-99,-88
2003 Masters Cup RR,L vs Federer,0.0%,-,3.9%,75.0%,10.3%,11.1%,0.0%,8.0%,18.2%,0.0%,-,44,59
2003 Madrid F,W vs Massu,0.0%,-,4.1%,100.0%,8.5%,6.8%,0.0%,4.2%,21.1%,1.8%,28.6%,-69,-36
2003 Madrid SF,W vs Federer,0.0%,-,6.4%,90.9%,12.8%,12.9%,16.7%,12.1%,42.9%,1.3%,0.0%,-41,-1
2003 US Open F,L vs Roddick,1.2%,100.0%,7.9%,71.4%,12.1%,11.8%,0.0%,10.7%,30.0%,0.4%,100.0%,-7,-13
2003 US Open SF,W vs Agassi,0.0%,-,3.1%,87.5%,22.8%,37.2%,0.0%,11.3%,28.6%,1.0%,25.0%,-20,14
2003 Roland Garros F,W vs Verkerk,2.9%,100.0%,6.5%,72.7%,15.1%,14.3%,33.3%,8.6%,27.3%,2.7%,44.4%,-51,-19
2003 Roland Garros SF,W vs Costa,0.0%,-,13.1%,75.0%,18.5%,18.4%,37.5%,6.6%,27.3%,2.3%,33.3%,-22,-15
Career (40 matches),,0.5%,76.5%,8.1%,71.6%,11.5%,12.7%,11.2%,6.7%,21.1%,1.2%,44.1%,-52,-42
