Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,312,178,134,57.1%,448-372,54.6%,4142-3972,51.0%,89-63,58.6%,300,80.3%,21.5%,6.3%,3.2%,61.0%,70.7%,54.2%,64.3%,37.3%,50.6%,1.04
Clay,349,254,95,72.8%,593-292,67.0%,4708-3685,56.1%,57-52,52.3%,327,78.0%,33.7%,3.2%,2.5%,67.2%,66.8%,54.1%,62.6%,43.1%,52.6%,1.15
Grass,49,30,19,61.2%,92-73,55.8%,852-797,51.7%,15-16,48.4%,47,83.8%,20.1%,6.9%,2.6%,65.2%,71.4%,55.0%,65.7%,35.5%,50.6%,1.03
Carpet,31,17,14,54.8%,43-34,55.8%,399-384,51.0%,11-6,64.7%,30,80.4%,20.3%,7.8%,3.1%,59.5%,73.0%,53.4%,65.0%,36.6%,50.4%,1.05
Grand Slams,144,99,45,68.8%,320-201,61.4%,2711-2323,53.9%,42-37,53.2%,144,80.6%,27.4%,5.6%,3.0%,62.6%,70.1%,54.0%,64.1%,39.9%,51.7%,1.11
Masters,206,126,80,61.2%,279-203,57.9%,2438-2196,52.6%,38-29,56.7%,200,77.6%,27.3%,5.3%,2.9%,63.3%,68.1%,53.9%,62.9%,39.8%,51.1%,1.07
Other Tours,355,231,124,65.1%,503-324,60.8%,4343-3821,53.2%,83-63,56.8%,348,80.2%,26.2%,4.5%,2.6%,65.5%,69.0%,54.7%,64.0%,39.6%,51.6%,1.10
Best of 5,175,118,57,67.4%,390-248,61.1%,3310-2827,53.9%,47-46,50.5%,153,80.1%,27.1%,5.5%,3.0%,62.7%,69.9%,53.7%,63.9%,39.7%,51.6%,1.10
Best of 3,566,361,205,63.8%,786-523,60.0%,6791-6011,53.0%,125-91,57.9%,551,79.4%,26.5%,4.9%,2.8%,64.5%,68.8%,54.4%,63.7%,39.7%,51.5%,1.09
Finals,34,16,18,47.1%,46-52,46.9%,469-479,49.5%,4-9,30.8%,33,74.6%,24.6%,4.3%,2.9%,65.9%,67.1%,50.4%,61.4%,38.2%,49.6%,0.99
Semi-finals,55,34,21,61.8%,75-55,57.7%,663-601,52.5%,10-7,58.8%,54,78.2%,26.4%,3.6%,3.3%,62.9%,68.2%,53.6%,62.8%,39.8%,51.1%,1.07
Quarter-finals,87,53,34,60.9%,123-90,57.7%,1077-974,52.5%,17-13,56.7%,84,77.5%,27.8%,5.1%,2.7%,65.5%,69.2%,51.9%,63.2%,40.2%,51.5%,1.09
vs Righties,636,411,225,64.6%,1014-674,60.1%,8750-7659,53.3%,145-121,54.5%,603,79.4%,26.9%,5.0%,2.8%,64.3%,69.0%,53.9%,63.6%,39.8%,51.5%,1.09
vs Lefties,104,67,37,64.4%,160-97,62.3%,1338-1172,53.3%,27-16,62.8%,100,80.8%,25.4%,5.4%,2.9%,62.2%,69.7%,56.3%,64.6%,38.6%,51.3%,1.09
vs Top 10,102,41,61,40.2%,120-160,42.9%,1270-1402,47.5%,16-13,55.2%,98,74.8%,19.7%,4.5%,2.8%,63.7%,66.9%,50.8%,61.0%,36.2%,48.6%,0.93
