Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,31,20,11,64.5%,19,11,8,57.9%,2000,2012,SF,31,1.13,6.3%,2.6%,61.1%,71.5%,53.7%,64.6%,40.0%,56.7%,41.0%
Roland Garros,12,Clay,45,34,11,75.6%,16,6,10,37.5%,2000,2012,W,45,1.20,3.7%,2.8%,64.3%,67.7%,53.7%,62.7%,44.6%,61.9%,39.6%
Wimbledon,11,Grass,33,22,11,66.7%,24,12,12,50.0%,2001,2012,QF,33,1.06,6.5%,2.7%,65.3%,71.8%,55.6%,66.2%,35.7%,64.3%,39.6%
US Open,12,Hard,35,23,12,65.7%,20,13,7,65.0%,1999,2011,F,35,1.03,6.3%,3.9%,59.2%,70.2%,53.3%,63.3%,37.7%,62.1%,40.0%
Olympics,2,,6,4,2,66.7%,5,3,2,60.0%,2000,2004,QF,0,,,,,,,,,,
Davis Cup,8,,24,18,6,75.0%,11,5,6,45.5%,2000,2012,,0,,,,,,,,,,
Barcelona,11,Clay,38,28,10,73.7%,12,5,7,41.7%,1999,2011,W,38,1.09,2.7%,2.3%,69.6%,66.3%,51.3%,61.8%,41.6%,67.7%,43.5%
Monte Carlo Masters,10,Clay,39,31,8,79.5%,4,2,2,50.0%,2000,2010,W,38,1.25,2.6%,2.2%,66.2%,66.9%,54.5%,62.7%,46.6%,60.3%,48.9%
Rome Masters,10,Clay,28,19,9,67.9%,7,4,3,57.1%,2000,2012,W,26,1.10,4.7%,2.5%,65.4%,66.4%,53.2%,61.9%,41.9%,62.1%,41.9%
Canada Masters,10,Hard,25,15,10,60.0%,7,3,4,42.9%,2000,2011,QF,23,1.04,8.5%,3.5%,62.7%,69.0%,56.2%,64.2%,37.4%,61.8%,37.3%
Cincinnati Masters,10,Hard,25,15,10,60.0%,13,9,4,69.2%,2000,2011,F,25,1.07,8.1%,3.8%,62.1%,73.4%,57.0%,67.2%,35.1%,65.9%,37.1%
Valencia,9,Hard,19,11,8,57.9%,5,4,1,80.0%,2003,2012,W,19,1.08,4.8%,2.5%,64.5%,68.8%,51.4%,62.6%,40.5%,61.5%,32.5%
