Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2007,8,4,4,50.0%,10-10,50.0%,91-95,48.9%,2-1,66.7%,0,,,,,,,,,,,,QF (Getxo 25K)
2006,17,10,7,58.8%,20-18,52.6%,193-177,52.2%,1-4,20.0%,0,,,,,,,,,,,,SF (2x)
2005,41,28,13,68.3%,60-30,66.7%,460-360,56.1%,7-1,87.5%,0,,,,,,,,,,,,W (2x)
2004,25,13,12,52.0%,31-28,52.5%,270-267,50.3%,2-2,50.0%,0,,,,,,,,,,,,F (Fontanafredda 25K)
2003,25,12,13,48.0%,27-32,45.8%,261-273,48.9%,1-2,33.3%,0,,,,,,,,,,,,SF (Girona 50K)
2002,44,31,13,70.5%,70-39,64.2%,551-442,55.5%,10-3,76.9%,0,,,,,,,,,,,,W (3x)
2001,32,19,13,59.4%,44-36,55.0%,380-341,52.7%,2-3,40.0%,0,,,,,,,,,,,,W (Sao Jose dos Campos 25K)
2000,29,16,13,55.2%,27-26,50.9%,246-246,50.0%,3-4,42.9%,0,,,,,,,,,,,,W (Granada 10K)
1999,21,7,14,33.3%,13-30,30.2%,165-218,43.1%,1-0,100.0%,0,,,,,,,,,,,,SF (Sofia 25K)
1998,58,36,22,62.1%,74-49,60.2%,591-483,55.0%,5-6,45.5%,0,,,,,,,,,,,,F (Santiago 25K)
1997,40,27,13,67.5%,55-27,67.1%,416-305,57.7%,4-7,36.4%,0,,,,,,,,,,,,W (Vigo 10K)
1996,28,19,9,67.9%,32-21,60.4%,246-214,53.5%,5-1,83.3%,0,,,,,,,,,,,,W (Zaragoza 10K)
1995,4,0,4,0.0%,1-8,11.1%,27-49,35.5%,0-0,-,0,,,,,,,,,,,,QF (ITF Mallorca 2)
1994,4,0,4,0.0%,1-8,11.1%,31-53,36.9%,0-1,0.0%,0,,,,,,,,,,,,R16 (ITF Lerida)
1993,4,0,4,0.0%,1-8,11.1%,30-53,36.1%,0-1,0.0%,0,,,,,,,,,,,,R16 (ITF Balaguer)
1992,5,0,5,0.0%,2-10,16.7%,31-64,32.6%,0-0,-,0,,,,,,,,,,,,QF (ITF Balaguer)
Career,385,222,163,57.7%,468-380,55.2%,3989-3640,52.3%,43-36,54.4%,0,,,,,,,,,,,,
