Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2007,321,72,,,,,,,,,,,,
2006,152,185,150,1589,154,1509,122,1561,,,,,,
2005,112,328,147,1594,155,1522,123,1569,151,1435,,,,
2004,150,222,172,1547,162,1496,148,1518,164,1436,,,,
2003,107,342,133,1597,129,1548,121,1554,135,1476,,,,
2002,98,374,117,1629,116,1565,106,1597,,,,,,
2001,159,190,149,1581,126,1559,140,1521,,,,,,
2000,227,93,,,,,,,,,,,,
1999,204,106,183,1363,183,1282,175,1339,,,,,,
1998,110,243,168,1454,169,1384,152,1419,157,1379,,,,
1997,164,123,,,,,,,,,,,,
1996,317,42,,,,,,,,,,,,
1995,417,1,,,,,,,,,,,,
