Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,14,13,51.9%,30-30,50.0%,252-268,48.5%,2-2,50.0%,5,-,-,0.0%,4.7%,67.0%,50.8%,48.0%,49.8%,40.6%,45.3%,0.81
Clay,61,25,36,41.0%,55-83,39.9%,562-699,44.6%,9-6,60.0%,8,-,-,0.6%,4.6%,68.5%,54.8%,33.1%,48.0%,41.1%,44.5%,0.79
Grass,3,1,2,33.3%,3-4,42.9%,28-39,41.8%,0-0,-,3,-,-,0.4%,3.5%,73.6%,58.3%,47.8%,55.5%,36.5%,46.6%,0.82
Grand Slams,18,4,14,22.2%,9-29,23.7%,110-211,34.3%,1-1,50.0%,12,-,-,0.3%,4.2%,70.7%,54.2%,42.7%,50.8%,40.0%,45.5%,0.81
Premiers,3,1,2,33.3%,2-5,28.6%,27-39,40.9%,0-0,-,3,-,-,1.0%,4.3%,64.4%,59.7%,35.1%,51.0%,40.9%,45.9%,0.83
Internationals,32,13,19,40.6%,29-44,39.7%,313-380,45.2%,6-5,54.5%,1,-,-,0.0%,8.0%,68.0%,41.2%,37.5%,40.0%,34.8%,37.5%,0.58
Finals,3,1,2,33.3%,3-5,37.5%,30-40,42.9%,0-0,-,0,,,,,,,,,,,
Semi-finals,6,3,3,50.0%,7-7,50.0%,55-64,46.2%,1-1,50.0%,0,,,,,,,,,,,
Quarter-finals,8,6,2,75.0%,12-6,66.7%,98-78,55.7%,3-1,75.0%,0,,,,,,,,,,,
vs Righties,64,23,41,35.9%,51-92,35.7%,545-737,42.5%,5-6,45.5%,15,-,-,0.4%,4.4%,68.7%,53.4%,39.1%,49.0%,40.8%,45.0%,0.80
vs Lefties,10,4,6,40.0%,10-13,43.5%,96-121,44.2%,4-1,80.0%,1,-,-,0.0%,3.9%,76.6%,67.8%,66.7%,67.5%,30.1%,48.1%,0.93
vs Top 10,2,0,2,0.0%,0-4,0.0%,4-24,14.3%,0-0,-,1,-,-,0.0%,3.6%,80.0%,45.5%,18.2%,40.0%,38.6%,39.4%,0.64
