Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2001,1,0,1,0.0%,1-2,33.3%,14-15,48.3%,0-0,-,1,57.1%,40.0%,0.0%,6.0%,74.7%,61.3%,33.3%,54.2%,45.9%,49.5%,1.00,R64 (Barcelona)
2000,18,4,14,22.2%,11-32,25.6%,156-233,40.1%,1-3,25.0%,18,53.4%,27.1%,0.6%,6.0%,72.7%,57.0%,35.1%,51.0%,39.9%,45.5%,0.82,R16 (2x)
1999,40,20,20,50.0%,53-52,50.5%,506-513,49.7%,11-6,64.7%,39,67.2%,31.7%,1.2%,4.8%,76.6%,61.5%,45.1%,57.6%,41.9%,49.8%,0.99,F (Palermo)
1998,56,32,24,57.1%,78-64,54.9%,708-659,51.8%,12-11,52.2%,55,71.8%,31.1%,2.3%,4.9%,73.4%,64.3%,45.9%,59.4%,41.5%,50.4%,1.02,W (Estoril)
1997,66,39,27,59.1%,91-65,58.3%,773-707,52.2%,11-8,57.9%,65,73.0%,31.8%,3.5%,3.7%,73.5%,64.3%,50.1%,60.5%,42.0%,51.1%,1.06,W (Palermo)
1996,72,46,26,63.9%,99-67,59.6%,839-738,53.2%,11-12,47.8%,72,75.1%,31.8%,2.4%,3.0%,74.9%,64.0%,51.7%,60.9%,42.3%,51.5%,1.08,W (3x)
1995,67,36,31,53.7%,86-79,52.1%,817-788,50.9%,13-14,48.1%,65,72.6%,29.9%,2.2%,3.0%,74.3%,63.1%,50.3%,59.8%,40.9%,50.3%,1.02,W (Oporto)
1994,91,65,26,71.4%,147-71,67.4%,1131-912,55.4%,14-11,56.0%,89,74.4%,36.8%,2.2%,2.9%,72.2%,63.8%,50.7%,60.1%,44.1%,52.2%,1.11,W (7x)
1993,48,29,19,60.4%,67-50,57.3%,577-495,53.8%,1-5,16.7%,45,73.7%,35.0%,1.5%,2.7%,72.6%,63.7%,50.5%,60.1%,43.4%,51.7%,1.09,W (Sao Paulo)
1992,19,8,11,42.1%,19-26,42.2%,201-230,46.6%,3-3,50.0%,19,64.0%,28.9%,1.0%,3.3%,71.9%,59.1%,45.9%,55.4%,41.1%,48.3%,0.92,SF (Casablanca)
Career,478,279,199,58.4%,652-508,56.2%,5722-5290,52.0%,77-73,51.3%,468,71.8%,32.4%,2.1%,3.6%,73.7%,63.2%,48.8%,59.4%,42.2%,50.8%,1.04,
