Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,1,1,50.0%,3-2,60.0%,29-23,55.8%,0-1,0.0%,0,,,,,,,,,,,,
2025,2,1,1,50.0%,2-2,50.0%,20-20,50.0%,0-0,-,0,,,,,,,,,,,,
2019,13,6,7,46.2%,18-24,42.9%,191-209,47.8%,1-4,20.0%,13,78.8%,18.6%,6.4%,2.7%,64.8%,72.0%,51.1%,64.6%,34.0%,48.9%,0.96,QF (Tokyo)
2018,48,29,19,60.4%,68-48,58.6%,598-532,52.9%,13-10,56.5%,48,77.9%,28.3%,4.7%,3.7%,62.8%,69.9%,51.6%,63.1%,40.2%,51.4%,1.09,SF (2x)
2017,45,27,18,60.0%,61-51,54.5%,538-497,52.0%,4-4,50.0%,45,78.1%,28.2%,4.7%,4.6%,60.2%,72.2%,47.9%,62.5%,40.3%,51.2%,1.07,W (NextGen Finals)
2016,21,8,13,38.1%,20-31,39.2%,225-255,46.9%,1-5,16.7%,21,72.8%,22.6%,3.5%,2.1%,66.7%,66.3%,50.9%,61.2%,37.8%,49.2%,0.97,QF (Houston)
2015,22,12,10,54.5%,31-24,56.4%,293-236,55.4%,2-9,18.2%,18,80.3%,29.7%,6.0%,5.0%,60.1%,71.8%,54.4%,64.9%,39.4%,51.8%,1.12,QF (Shenzhen)
2014,3,2,1,66.7%,5-5,50.0%,56-47,54.4%,0-3,0.0%,0,,,,,,,,,,,,
2013,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,66.7%,0.0%,0.0%,1.9%,64.8%,57.1%,57.9%,57.4%,29.8%,43.2%,0.70,R32 (Kuala Lumpur)
Career,157,86,71,54.8%,208-189,52.4%,1956-1831,51.7%,21-36,36.8%,146,77.6%,26.4%,4.8%,3.8%,62.4%,70.5%,50.6%,63.0%,39.1%,50.8%,1.06,
