Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,6,1,5,16.7%,4-10,28.6%,59-80,42.4%,1-3,25.0%,6,56.1%,30.4%,1.7%,10.0%,54.2%,62.6%,39.5%,52.0%,41.6%,46.6%,0.87,R16 (Phan Thiet 1)
2025,16,6,10,37.5%,14-21,40.0%,152-173,46.8%,2-2,50.0%,16,62.1%,32.5%,2.8%,7.9%,59.6%,64.1%,45.3%,56.5%,42.4%,49.3%,0.98,QF (2x)
2024,3,1,2,33.3%,3-4,42.9%,26-36,41.9%,0-0,-,3,66.7%,18.8%,2.4%,10.1%,58.2%,64.5%,47.1%,57.2%,37.3%,47.4%,0.87,R16 (Seoul)
2023,4,0,4,0.0%,1-8,11.1%,28-54,34.1%,1-0,100.0%,4,64.1%,4.8%,3.4%,8.4%,56.3%,66.2%,41.7%,55.5%,26.2%,41.6%,0.59,R32 (4x)
2020,4,0,4,0.0%,1-8,11.1%,30-52,36.6%,0-2,0.0%,4,50.0%,25.0%,2.1%,15.6%,43.9%,65.4%,33.8%,47.7%,40.6%,43.9%,0.78,R32 (3x)
2019,10,8,2,80.0%,16-6,72.7%,117-93,55.7%,4-1,80.0%,9,84.2%,26.9%,7.9%,3.5%,67.0%,75.5%,51.2%,67.5%,39.6%,52.9%,1.22,W (Chengdu)
2017,5,5,0,100.0%,10-0,100.0%,61-24,71.8%,1-0,100.0%,5,92.9%,50.0%,7.8%,4.9%,59.6%,80.8%,54.5%,70.2%,50.5%,59.7%,1.70,W (Lahaina)
2016,26,21,5,80.8%,44-16,73.3%,326-243,57.3%,5-3,62.5%,26,84.0%,30.4%,9.1%,3.8%,63.0%,74.5%,55.1%,67.3%,42.0%,54.1%,1.29,W (2x)
2015,41,34,7,82.9%,72-22,76.6%,519-350,59.7%,6-3,66.7%,41,81.1%,38.6%,4.6%,2.5%,65.0%,70.3%,53.5%,64.4%,44.8%,54.3%,1.26,W (4x)
2014,23,15,8,65.2%,30-18,62.5%,233-206,53.1%,3-2,60.0%,22,75.2%,30.2%,3.5%,3.1%,61.7%,68.2%,52.4%,62.2%,40.9%,51.4%,1.08,W (Bangkok)
2013,6,1,5,16.7%,5-10,33.3%,60-75,44.4%,1-2,33.3%,6,59.1%,30.3%,3.3%,6.1%,58.8%,63.1%,43.7%,55.1%,38.8%,47.4%,0.86,R16 (Yokohama)
2012,2,1,1,50.0%,1-2,33.3%,10-13,43.5%,0-0,-,2,50.0%,41.7%,1.4%,6.8%,55.4%,58.5%,42.4%,51.4%,46.5%,48.8%,0.96,R16 (Seoul)
Career,146,93,53,63.7%,201-125,61.7%,1621-1399,53.7%,24-18,57.1%,144,75.4%,32.2%,5.0%,4.8%,61.7%,69.7%,49.8%,62.1%,42.1%,51.8%,1.11,
