Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),404,116,298,1465,275,1435,,,,,,,,
2025,364,134,239,1524,211,1503,,,,,,,,
2024,1104,10,,,,,,,,,,,,
2023,1094,8,,,,,,,,,,,,
2021,495,71,,,,,,,,,,,,
2020,161,391,,,,,,,,,,,,
2019,128,428,49,1802,53,1753,,,,,,,,
2018,25,1585,41,1807,40,1755,27,1799,,,273,180,,
2017,58,844,25,1901,29,1828,22,1860,,,401,135,,
2016,104,571,70,1751,57,1724,98,1643,,,222,335,,
2015,51,817,55,1782,46,1753,79,1688,123,1543,649,80,,
2014,173,299,217,1511,194,1502,299,1335,,,392,153,,
2013,550,58,,,,,,,,,590,87,,
2012,770,20,,,,,,,,,1316,10,,
