Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,0,3,0.0%,1-6,14.3%,25-39,39.1%,0-0,-,3,63.6%,12.9%,2.9%,2.4%,59.0%,62.8%,50.0%,57.6%,35.0%,46.2%,0.82,R64 (WTA Charleston)
2023,10,5,5,50.0%,12-10,54.5%,106-106,50.0%,4-2,66.7%,10,67.0%,31.4%,3.0%,4.9%,54.7%,62.8%,49.7%,56.9%,41.7%,49.6%,0.97,R16 (Washington)
2021,26,15,11,57.7%,35-19,64.8%,275-221,55.4%,5-1,83.3%,24,77.0%,33.8%,6.1%,3.7%,56.1%,71.1%,49.5%,61.6%,42.7%,52.4%,1.11,F (Australian Open)
2020,28,19,9,67.9%,40-24,62.5%,333-268,55.4%,5-5,50.0%,28,79.6%,30.4%,7.5%,2.7%,58.1%,69.8%,53.4%,62.9%,41.5%,52.5%,1.12,W (Lexington)
2019,33,16,17,48.5%,41-40,50.6%,398-386,50.8%,4-6,40.0%,33,72.2%,28.8%,6.7%,3.5%,56.0%,70.1%,47.3%,60.1%,41.1%,50.7%,1.03,SF (Nottingham)
2018,18,5,13,27.8%,12-26,31.6%,177-191,48.1%,0-7,0.0%,17,68.3%,29.5%,5.0%,4.5%,55.8%,64.9%,47.6%,57.2%,41.1%,49.2%,0.96,R16 (2x)
2017,24,10,14,41.7%,23-31,42.6%,246-271,47.6%,3-2,60.0%,24,65.0%,25.8%,6.1%,5.4%,53.1%,66.8%,47.1%,57.6%,40.8%,49.5%,0.96,SF (Hong Kong)
2016,8,3,5,37.5%,7-11,38.9%,85-90,48.6%,0-0,-,8,66.7%,32.6%,4.3%,5.2%,54.6%,67.5%,48.1%,58.7%,43.3%,50.7%,1.05,QF (Guangzhou)
Career,150,73,77,48.7%,171-167,50.6%,1645-1572,51.1%,21-23,47.7%,147,72.2%,29.7%,6.0%,4.0%,55.8%,68.3%,49.0%,59.8%,41.4%,50.8%,1.03,
