Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 Miami R64,L vs Rublev,54.8%,30.4%,7.1%,2/1,-,8.3%,53.6%,33.3%,0.0%,-,11.8%,61.5%,25.0%,23.1%,-,5.3%
2020 Roland Garros R128,W vs Hurkacz,73.0%,45.9%,1.5%,0/3,2.39,14.1%,70.2%,42.5%,1.6%,2.38,22.4%,86.8%,50.8%,1.5%,2.41,1.8%
2020 Australian Open QF,L vs Federer,67.8%,49.1%,2.9%,3/2,1.87,38.7%,63.4%,45.1%,2.7%,1.84,46.0%,80.4%,55.6%,3.6%,1.90,30.2%
2020 Australian Open R16,W vs Fognini,75.8%,44.0%,3.0%,1/3,2.36,46.3%,66.7%,37.0%,2.9%,2.34,79.2%,90.0%,50.0%,3.3%,2.38,0.0%
2020 Australian Open R64,W vs Berrettini,60.4%,40.9%,2.6%,2/2,2.38,39.5%,53.0%,34.0%,2.0%,2.28,58.8%,78.4%,50.0%,3.9%,2.56,0.0%
2019 Zhuhai R32,L vs Murray,66.3%,29.1%,7.2%,2/4,2.08,18.4%,54.9%,21.4%,5.9%,2.10,32.0%,87.1%,37.0%,9.7%,2.04,0.0%
2019 Winston Salem R32,L vs Shapovalov,64.7%,42.4%,11.8%,4/2,2.31,5.0%,69.0%,45.0%,17.2%,2.50,9.1%,76.5%,38.5%,5.9%,2.08,0.0%
2019 Wimbledon R16,L vs Querrey,53.4%,39.7%,4.1%,4/2,2.32,21.9%,51.0%,32.7%,3.1%,2.38,32.8%,64.4%,51.7%,6.7%,2.21,2.9%
2019 Wimbledon R32,W vs Fognini,73.9%,46.3%,2.7%,3/0,2.34,53.7%,74.3%,49.1%,2.7%,2.41,77.5%,87.1%,40.7%,3.2%,2.22,18.5%
2019 Monterrey CH SF,L vs Bublik,52.2%,60.0%,0.0%,0/0,2.11,59.6%,55.9%,55.3%,0.0%,1.98,65.5%,61.1%,68.2%,0.0%,2.31,50.0%
2019 Auckland F,W vs Norrie,62.7%,62.2%,1.7%,1/0,2.33,23.8%,66.7%,61.5%,2.6%,2.13,43.5%,61.1%,63.6%,0.0%,2.58,0.0%
2019 Auckland SF,W vs Kohlschreiber,71.2%,54.8%,5.1%,2/1,2.00,26.1%,69.4%,48.0%,2.8%,1.64,54.5%,81.0%,64.7%,9.5%,2.33,0.0%
2018 Houston F,L vs Johnson,74.4%,40.3%,2.2%,2/0,2.25,58.8%,74.1%,32.5%,1.9%,2.29,78.7%,81.8%,51.9%,3.0%,2.20,34.2%
2018 Australian Open QF,L vs Chung,68.2%,42.5%,1.9%,1/1,2.38,5.6%,66.7%,44.4%,1.2%,2.32,10.5%,82.6%,36.8%,4.3%,2.45,0.0%
2018 Australian Open R16,W vs Thiem,67.7%,44.0%,1.2%,2/0,2.37,23.9%,60.6%,39.7%,0.0%,2.33,33.3%,86.8%,50.0%,3.8%,2.47,2.8%
2017 Tiburon CH F,L vs Norrie,66.2%,40.4%,1.4%,0/1,2.18,20.6%,70.5%,45.2%,0.0%,1.93,42.9%,84.2%,31.3%,5.3%,2.35,5.0%
2016 Savannah CH R16,L vs Melzer,70.2%,36.4%,2.1%,1/0,2.08,2.6%,65.5%,36.8%,3.4%,1.94,4.2%,82.4%,35.7%,0.0%,2.32,0.0%
2015 Sacramento CH R16,L vs Donaldson,58.5%,35.5%,3.8%,1/1,2.65,4.8%,51.6%,31.3%,3.2%,2.73,4.2%,75.0%,40.0%,5.0%,2.56,5.6%
2014 USA F25 SF,L vs Jenkins,78.5%,50.0%,4.6%,5/1,2.19,7.4%,68.7%,52.2%,7.5%,2.11,11.1%,93.3%,48.2%,1.7%,2.29,2.4%
2013 Champaign CH R32,W vs Peliwo,75.8%,76.0%,0.0%,0/0,2.00,5.9%,68.8%,81.8%,0.0%,1.69,11.1%,100.0%,71.4%,0.0%,2.31,0.0%
Career (21 matches),,67.2%,45.8%,2.9%,60.0%,2.26,25.8%,63.4%,43.0%,2.6%,2.23,38.1%,81.9%,49.7%,3.9%,2.30,8.4%
