Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2021 Miami R64,L vs Rublev,30.9%,32.7%,27.8%,32.0%,43.3%,43.3%,35.3%,45.3%,38.5%,47.1%,25.0%,17.4%,21.7%,21.1%,42
2020 Roland Garros R128,W vs Hurkacz,18.3%,28.0%,55.9%,24.8%,22.1%,36.3%,56.8%,32.9%,53.4%,50.9%,28.6%,13.6%,16.7%,54.4%,18
2020 Australian Open QF,L vs Federer,34.7%,42.0%,52.7%,40.7%,48.5%,59.8%,60.0%,57.8%,50.0%,56.9%,80.0%,10.4%,10.4%,44.2%,-14
2020 Australian Open R16,W vs Fognini,38.0%,41.5%,45.1%,40.6%,48.9%,54.3%,45.8%,52.9%,52.3%,54.0%,75.0%,19.0%,19.0%,44.1%,-10
2020 Australian Open R64,W vs Berrettini,45.9%,52.7%,51.9%,51.8%,50.5%,60.0%,59.6%,58.7%,58.0%,60.0%,75.0%,35.9%,35.9%,36.0%,-5
2019 Zhuhai R32,L vs Murray,24.8%,34.7%,48.3%,32.7%,33.3%,48.7%,53.8%,45.6%,65.8%,50.0%,57.1%,9.8%,9.8%,40.5%,-16
2019 Winston Salem R32,L vs Shapovalov,27.9%,31.1%,27.5%,30.8%,37.1%,37.1%,22.7%,42.3%,61.1%,35.3%,16.7%,18.2%,27.3%,33.3%,58
2019 Wimbledon R16,L vs Querrey,33.6%,47.7%,60.4%,40.5%,37.1%,53.6%,67.2%,47.8%,65.8%,57.6%,75.0%,28.6%,38.8%,48.6%,8
2019 Wimbledon R32,W vs Fognini,39.1%,46.1%,50.7%,44.8%,45.2%,54.8%,42.5%,54.1%,55.9%,61.5%,66.7%,30.8%,33.3%,63.0%,29
2019 Monterrey CH SF,L vs Bublik,32.5%,42.9%,58.3%,39.6%,38.8%,49.0%,63.3%,50.0%,66.7%,45.2%,0.0%,25.0%,37.5%,50.0%,118
2019 Auckland F,W vs Norrie,29.0%,38.7%,54.8%,33.2%,37.8%,48.6%,60.9%,44.9%,63.2%,55.6%,100.0%,17.4%,26.1%,47.4%,42
2019 Auckland SF,W vs Kohlschreiber,51.1%,61.7%,60.9%,58.9%,66.7%,81.8%,81.8%,77.9%,58.8%,50.0%,-,14.3%,14.3%,41.7%,-79
2018 Houston F,L vs Johnson,17.8%,33.6%,57.6%,29.8%,24.2%,48.4%,59.6%,45.0%,41.4%,36.4%,50.0%,9.5%,14.3%,55.3%,-20
2018 Australian Open QF,L vs Chung,26.9%,30.8%,47.9%,30.6%,33.3%,40.4%,57.9%,40.0%,59.3%,50.0%,42.9%,21.4%,21.4%,36.4%,82
2018 Australian Open R16,W vs Thiem,34.9%,43.5%,53.0%,41.9%,41.7%,51.8%,53.1%,51.1%,55.2%,49.4%,25.0%,16.3%,20.9%,52.8%,46
2017 Tiburon CH F,L vs Norrie,26.5%,36.7%,38.2%,29.6%,44.0%,56.0%,57.1%,50.0%,35.7%,45.5%,0.0%,9.1%,18.2%,25.0%,-26
2016 Savannah CH R16,L vs Melzer,17.0%,23.4%,39.5%,22.8%,25.0%,34.4%,50.0%,33.4%,66.7%,50.0%,50.0%,0.0%,0.0%,21.4%,-118
2015 Sacramento CH R16,L vs Donaldson,26.2%,29.5%,40.5%,27.0%,33.3%,36.1%,37.5%,34.7%,80.0%,50.0%,25.0%,18.2%,22.7%,44.4%,58
2014 USA F25 SF,L vs Jenkins,22.5%,30.2%,48.4%,25.5%,29.9%,33.8%,46.3%,34.9%,53.1%,35.6%,22.2%,12.8%,27.7%,51.2%,-17
2013 Champaign CH R32,W vs Peliwo,46.9%,50.0%,76.5%,48.4%,60.9%,65.2%,66.7%,63.0%,60.0%,61.5%,-,11.1%,11.1%,87.5%,-79
Career (21 matches),,31.1%,39.2%,51.0%,36.7%,39.6%,50.0%,54.3%,48.3%,56.8%,51.1%,43.0%,17.6%,22.1%,46.3%,34
