Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Iasi R16,L vs Carle,77.0%,55.2%,5.7%,5/0,2.57,1.1%,83.3%,56.0%,1.7%,2.58,1.5%,73.9%,52.9%,17.4%,2.55,0.0%
2025 Wimbledon R128,L vs Rybakina,60.6%,57.5%,9.1%,5/1,2.78,7.4%,43.8%,57.1%,9.4%,3.07,13.3%,81.3%,57.7%,9.4%,2.43,0.0%
2025 Merida SF,L vs Navarro,81.8%,40.0%,14.5%,5/3,2.46,3.9%,80.5%,39.4%,12.2%,2.43,5.6%,100.0%,41.7%,25.0%,2.55,0.0%
2025 Merida QF,W vs Joint,76.3%,65.5%,5.3%,2/2,2.75,9.7%,86.3%,63.6%,2.0%,2.80,11.8%,82.4%,71.4%,17.6%,2.53,0.0%
2025 Dubai R64,L vs Andreeva,65.9%,37.9%,13.6%,5/1,2.27,12.8%,75.0%,38.1%,14.3%,2.14,17.9%,61.5%,37.5%,15.4%,2.62,0.0%
2025 Doha R32,L vs Kasatkina,80.6%,42.6%,9.0%,3/3,2.48,6.3%,85.4%,39.0%,2.1%,2.43,8.1%,86.7%,53.8%,33.3%,2.55,3.8%
2025 Doha R64,W vs Wang,86.4%,49.1%,5.3%,2/5,2.46,3.7%,88.2%,44.0%,3.5%,2.35,5.9%,92.9%,59.0%,9.5%,2.64,0.0%
2025 Linz R32,W vs Siniakova,72.7%,52.5%,3.6%,2/0,2.42,9.5%,80.0%,54.2%,3.3%,1.95,15.4%,84.2%,50.0%,5.3%,3.17,0.0%
2025 Hobart SF,L vs Kessler,80.0%,55.9%,7.1%,6/0,2.72,1.4%,82.0%,56.1%,4.0%,2.56,2.1%,81.8%,55.6%,12.1%,3.09,0.0%
2024 Osaka R32,W vs Krueger,76.9%,56.0%,23.1%,5/10,2.28,3.3%,81.1%,60.0%,13.5%,2.23,4.4%,95.2%,50.0%,47.6%,2.43,0.0%
2024 Monterrey R16,L vs Svitolina,66.0%,33.3%,18.0%,5/4,2.21,4.2%,60.7%,17.6%,17.9%,2.20,4.9%,88.9%,50.0%,22.2%,2.24,0.0%
2024 Cincinnati R64,W vs Andreescu,74.6%,47.2%,14.1%,5/5,2.52,1.5%,72.3%,47.1%,14.9%,2.40,1.9%,90.5%,47.4%,14.3%,2.97,0.0%
2024 Iasi F,L vs Andreeva,90.0%,43.1%,7.5%,4/2,2.45,2.6%,92.3%,43.8%,9.6%,2.49,3.0%,88.9%,41.7%,3.7%,2.24,0.0%
2024 Wimbledon R64,L vs Samsonova,62.5%,51.4%,5.4%,3/0,2.32,0.0%,58.6%,41.2%,3.4%,2.44,0.0%,78.3%,61.1%,8.7%,1.97,0.0%
2024 Birmingham R32,L vs Potapova,71.4%,51.1%,9.5%,4/2,2.55,2.0%,63.9%,39.1%,11.1%,2.57,2.9%,91.7%,63.6%,8.3%,2.51,0.0%
2024 Roland Garros R16,L vs Paolini,89.4%,47.4%,4.7%,4/0,2.52,0.0%,91.9%,45.6%,3.2%,2.52,0.0%,95.0%,52.6%,10.0%,2.48,0.0%
2024 Madrid R128,L vs Montgomery,74.1%,37.5%,3.7%,2/0,2.81,0.0%,73.7%,32.1%,0.0%,3.02,0.0%,85.7%,50.0%,14.3%,2.50,0.0%
2024 Rouen R16,L vs Andreeva,78.7%,47.5%,6.7%,1/4,2.43,7.3%,81.8%,42.2%,5.5%,2.45,12.9%,82.4%,64.3%,11.8%,2.40,0.0%
2024 Miami R32,L vs Collins,72.9%,37.1%,16.7%,4/4,2.69,0.0%,75.0%,33.3%,14.3%,2.65,0.0%,93.3%,42.9%,26.7%,2.83,0.0%
2024 Australian Open R64,W vs Sakkari,89.3%,49.3%,2.7%,0/2,2.66,1.9%,87.8%,46.5%,2.0%,2.65,2.2%,96.0%,54.2%,4.0%,2.73,0.0%
Last 52 Weeks (2 matches),,69.9%,56.1%,7.2%,90.9%,2.62,2.6%,69.6%,56.3%,4.3%,2.67,3.7%,78.2%,55.8%,12.7%,2.51,0.0%
Career (29 matches),,80.2%,49.6%,7.3%,57.8%,2.56,3.6%,82.7%,47.3%,5.5%,2.54,4.7%,89.1%,54.0%,12.2%,2.62,0.7%
