Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Iasi R16,L vs Carle,19,42,0.5,10.2%,22.6%,19,40,0.5,10.6%,22.3%,6.1%,4.5%,0.9,16.1%,18.8%
2025 Wimbledon R128,L vs Rybakina,13,18,0.7,12.5%,17.3%,12,14,0.9,12.9%,15.1%,6.5%,6.5%,1.1,20.2%,19.2%
2025 Merida SF,L vs Navarro,8,20,0.4,6.8%,17.1%,7,19,0.4,6.2%,16.8%,4.4%,1.8%,0.9,16.2%,17.9%
2025 Merida QF,W vs Joint,7,23,0.3,4.4%,14.5%,6,19,0.3,4.1%,13.0%,2.7%,1.4%,0.6,18.2%,31.4%
2025 Dubai R64,L vs Andreeva,11,32,0.3,11.7%,34.0%,11,28,0.4,12.6%,32.2%,6.9%,5.7%,1.2,11.7%,9.6%
2025 Doha R32,L vs Kasatkina,24,35,0.7,17.5%,25.5%,24,33,0.7,18.3%,25.2%,13.0%,5.3%,0.9,13.1%,13.9%
2025 Doha R64,W vs Wang,28,41,0.7,11.7%,17.2%,26,38,0.7,11.5%,16.7%,5.3%,6.2%,0.9,18.8%,20.9%
2025 Linz R32,W vs Siniakova,16,13,1.2,15.1%,12.3%,15,12,1.3,15.6%,12.5%,7.3%,8.3%,0.6,17.9%,29.2%
2025 Hobart SF,L vs Kessler,22,40,0.6,12.9%,23.4%,20,39,0.5,12.0%,23.5%,4.8%,7.2%,0.6,10.5%,17.5%
2024 Osaka R32,W vs Krueger,23,18,1.3,16.4%,12.9%,20,17,1.2,16.1%,13.7%,10.5%,5.6%,0.8,19.3%,22.9%
2024 US Open R128,L vs Haddad Maia,18,36,0.5,13.4%,26.9%,17,35,0.5,13.7%,28.2%,8.9%,4.8%,0.8,16.4%,20.1%
2024 Monterrey R16,L vs Svitolina,15,16,0.9,13.2%,14.0%,15,10,1.5,14.7%,9.8%,7.8%,6.9%,1.4,16.7%,12.3%
2024 Cincinnati R64,W vs Andreescu,20,20,1.0,12.6%,12.6%,18,19,0.9,12.2%,12.8%,6.8%,5.4%,1.0,20.8%,21.4%
2024 Iasi F,L vs Andreeva,21,27,0.8,12.3%,15.8%,21,24,0.9,12.6%,14.4%,8.4%,4.2%,1.5,21.6%,14.6%
2024 Wimbledon R64,L vs Samsonova,12,24,0.5,10.9%,21.8%,11,19,0.6,11.7%,20.2%,6.4%,4.3%,1.2,20.0%,16.4%
2024 Wimbledon R128,W vs Kalinina,12,20,0.6,10.3%,17.1%,12,18,0.7,11.3%,17.0%,8.5%,1.9%,0.4,15.4%,36.8%
2024 Birmingham R32,L vs Potapova,9,25,0.4,7.1%,19.8%,8,25,0.3,6.7%,20.8%,5.8%,0.8%,0.6,19.8%,32.5%
2024 Roland Garros R16,L vs Paolini,9,40,0.2,5.5%,24.2%,9,37,0.2,5.7%,23.3%,3.1%,2.5%,0.6,17.6%,29.1%
2024 Madrid R128,L vs Montgomery,13,23,0.6,13.5%,24.0%,12,23,0.5,13.2%,25.3%,8.8%,4.4%,1.4,28.1%,19.8%
2024 Rouen R16,L vs Andreeva,16,41,0.4,11.2%,28.7%,16,39,0.4,11.9%,28.9%,7.4%,4.4%,0.5,14.0%,27.3%
Career (32 matches),,515,892,0.6,11.0%,19.1%,488,805,0.6,11.2%,18.4%,6.4%,4.7%,0.8,17.7%,23.2%
