Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Iasi R16,L vs Carle,9.1%,14.1%,43.2%,10.7%,16.0%,41.8%,60.5%,67.6%,88.9%,4.5%,9.1%,47.6%,12.5%,78.6%,100.0%,-71
2025 Wimbledon R128,L vs Rybakina,18.4%,26.3%,33.3%,21.1%,26.3%,26.7%,60.0%,66.7%,100.0%,20.0%,33.3%,41.7%,37.5%,14.3%,0.0%,63
2025 Merida SF,L vs Navarro,16.1%,19.4%,35.3%,16.3%,20.9%,33.3%,47.6%,40.9%,40.0%,16.7%,16.7%,40.0%,0.0%,45.5%,0.0%,-40
2025 Merida QF,W vs Joint,20.5%,26.5%,43.5%,21.5%,27.7%,47.1%,60.6%,37.5%,50.0%,21.4%,28.6%,27.3%,16.7%,87.5%,-,73
2025 Dubai R64,L vs Andreeva,14.0%,18.0%,33.3%,15.2%,18.2%,35.7%,26.3%,35.7%,0.0%,15.4%,23.1%,27.3%,0.0%,30.0%,0.0%,17
2025 Doha R32,L vs Kasatkina,7.1%,21.4%,47.6%,9.8%,26.8%,51.4%,63.6%,31.6%,14.3%,3.7%,14.8%,42.3%,23.1%,50.0%,50.0%,-79
2025 Doha R64,W vs Wang,21.5%,28.0%,40.7%,23.9%,32.8%,51.0%,43.8%,60.0%,75.0%,18.9%,21.6%,23.3%,23.5%,40.0%,50.0%,-13
2025 Linz R32,W vs Siniakova,15.7%,29.4%,66.7%,21.2%,39.4%,73.1%,52.9%,50.0%,100.0%,5.9%,11.8%,56.3%,85.7%,30.0%,-,-55
2025 Hobart SF,L vs Kessler,18.6%,27.9%,36.2%,22.6%,32.3%,41.7%,67.7%,61.3%,60.0%,8.7%,17.4%,23.8%,15.4%,90.0%,100.0%,-54
2024 Osaka R32,W vs Krueger,18.7%,33.3%,48.3%,21.1%,38.6%,57.8%,48.3%,71.4%,100.0%,11.8%,17.6%,20.0%,0.0%,16.7%,0.0%,-37
2024 Monterrey R16,L vs Svitolina,15.6%,37.5%,50.0%,16.3%,44.9%,53.7%,65.2%,50.0%,40.0%,22.2%,22.2%,28.6%,50.0%,66.7%,100.0%,35
2024 Cincinnati R64,W vs Andreescu,22.7%,29.5%,52.2%,23.2%,30.4%,52.8%,23.3%,38.5%,44.4%,22.2%,27.8%,50.0%,0.0%,42.9%,100.0%,-40
2024 Iasi F,L vs Andreeva,12.1%,15.4%,42.9%,13.0%,16.9%,41.8%,47.5%,62.2%,62.5%,9.1%,9.1%,50.0%,20.0%,66.7%,0.0%,-36
2024 Wimbledon R64,L vs Samsonova,22.2%,33.3%,37.8%,25.0%,38.9%,37.0%,68.8%,45.0%,50.0%,23.1%,30.8%,40.0%,57.1%,50.0%,0.0%,73
2024 Birmingham R32,L vs Potapova,23.1%,27.7%,38.8%,23.9%,28.3%,45.7%,83.3%,54.5%,100.0%,22.2%,27.8%,21.4%,42.9%,45.5%,0.0%,-104
2024 Roland Garros R16,L vs Paolini,8.8%,11.3%,38.6%,7.7%,10.8%,38.3%,14.3%,43.3%,40.0%,16.7%,16.7%,40.0%,0.0%,42.9%,0.0%,35
2024 Madrid R128,L vs Montgomery,19.0%,31.0%,38.2%,20.8%,37.5%,31.6%,50.0%,41.7%,-,16.7%,22.2%,46.7%,62.5%,50.0%,50.0%,-104
2024 Rouen R16,L vs Andreeva,16.2%,19.1%,43.6%,18.4%,23.7%,38.7%,55.6%,60.0%,75.0%,14.3%,14.3%,50.0%,8.3%,18.8%,25.0%,-23
2024 Miami R32,L vs Collins,16.4%,18.2%,31.7%,15.8%,18.4%,40.6%,31.6%,26.3%,14.3%,25.0%,25.0%,0.0%,0.0%,16.7%,0.0%,84
2024 Australian Open R64,W vs Sakkari,22.5%,29.6%,50.9%,22.4%,31.0%,53.3%,48.1%,67.7%,66.7%,27.3%,27.3%,37.5%,20.0%,66.7%,-,82
Last 52 Weeks (2 matches),,11.7%,17.5%,40.9%,12.8%,18.1%,39.0%,60.4%,67.4%,90.9%,10.8%,18.9%,45.5%,25.0%,57.1%,83.3%,-12
Career (29 matches),,15.5%,22.0%,45.4%,16.6%,24.6%,48.4%,49.9%,55.3%,56.0%,14.8%,18.1%,37.0%,21.5%,48.1%,38.1%,32
