Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,8,6,2,75.0%,11-5,68.8%,80-65,55.2%,0-0,-,8,65.8%,46.6%,3.3%,4.6%,62.5%,60.3%,49.7%,56.3%,47.6%,52.0%,1.09
Clay,3,1,2,33.3%,4-4,50.0%,38-39,49.4%,1-0,100.0%,3,56.4%,40.5%,1.3%,5.0%,59.8%,61.5%,41.7%,53.6%,47.8%,50.5%,1.03
Grand Slams,1,0,1,0.0%,1-2,33.3%,11-14,44.0%,0-0,-,1,53.8%,33.3%,2.6%,3.9%,75.0%,56.1%,36.8%,51.3%,45.6%,48.2%,0.94
Internationals,10,7,3,70.0%,14-7,66.7%,107-90,54.3%,1-0,100.0%,10,63.7%,45.9%,2.6%,4.8%,60.2%,61.3%,47.8%,55.9%,48.0%,51.9%,1.09
Finals,1,0,1,0.0%,1-2,33.3%,10-17,37.0%,0-0,-,1,57.1%,15.4%,6.2%,2.5%,65.4%,60.4%,50.0%,56.8%,29.4%,44.3%,0.68
Semi-finals,1,1,0,100.0%,2-0,100.0%,12-8,60.0%,0-0,-,1,70.0%,50.0%,0.0%,8.5%,52.1%,56.8%,58.8%,57.7%,50.0%,54.3%,1.18
Quarter-finals,2,1,1,50.0%,2-2,50.0%,19-18,51.4%,0-0,-,2,52.6%,50.0%,2.1%,4.2%,60.8%,56.3%,42.9%,51.0%,49.7%,50.3%,1.02
vs Righties,9,6,3,66.7%,13-7,65.0%,99-84,54.1%,1-0,100.0%,9,64.2%,45.1%,2.8%,4.8%,62.4%,60.9%,48.5%,56.2%,47.9%,51.9%,1.09
