Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Ostrava F,L vs Boulter,39.5%,42.0%,29.8%,43.4%,45.3%,30.0%,56.0%,57.1%,16.7%,34.6%,38.5%,29.4%,35.7%,41.7%,50.0%,-18
2023 Cluj Napoca F,W vs Ruse,18.6%,25.7%,45.3%,23.5%,32.4%,42.3%,71.4%,50.0%,20.0%,15.6%,21.9%,48.1%,11.8%,53.3%,0.0%,30
2023 ITF Trnava R32,L vs Falkowska,18.9%,22.6%,36.1%,35.7%,42.9%,44.4%,57.1%,50.0%,0.0%,0.0%,0.0%,27.8%,70.0%,87.5%,100.0%,-119
2023 Australian Open R128,L vs Raducanu,10.8%,13.8%,40.0%,17.5%,22.5%,51.5%,71.4%,47.4%,16.7%,0.0%,0.0%,22.7%,88.9%,61.5%,100.0%,-119
2022 Wimbledon R128,L vs Watson,21.6%,27.0%,52.4%,27.6%,36.2%,59.5%,26.9%,56.3%,40.0%,16.7%,18.8%,45.0%,25.0%,17.9%,33.3%,10
2018 Lugano R16,W vs Von Deichmann,14.4%,21.1%,48.6%,17.3%,25.0%,51.2%,60.0%,46.9%,37.5%,12.9%,19.4%,44.4%,66.7%,15.4%,0.0%,2
2017 Stuttgart R32,L vs Suarez Navarro,6.5%,12.9%,50.0%,4.5%,11.4%,50.0%,47.4%,48.0%,50.0%,11.1%,16.7%,50.0%,81.8%,28.6%,0.0%,-104
2016 Limoges QF,L vs Vikhlyantseva,23.2%,28.6%,44.7%,26.9%,38.5%,47.4%,46.2%,30.8%,0.0%,24.0%,24.0%,42.1%,81.8%,14.3%,0.0%,97
Last 52 Weeks (1 matches),,39.5%,42.0%,29.8%,43.4%,45.3%,30.0%,56.0%,57.1%,16.7%,34.6%,38.5%,29.4%,35.7%,41.7%,50.0%,-18
Career (8 matches),,19.7%,24.8%,44.6%,24.5%,31.3%,48.2%,53.3%,49.7%,28.6%,15.5%,18.6%,39.8%,51.8%,35.5%,44.4%,36
