Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,50,21,29,42.0%,47-65,42.0%,478-551,46.5%,5-7,41.7%,50,57.4%,36.1%,2.4%,5.7%,57.3%,59.3%,45.3%,53.3%,44.1%,48.8%,0.94
Clay,47,20,27,42.6%,49-63,43.8%,479-539,47.1%,6-3,66.7%,47,53.3%,40.4%,1.5%,7.1%,58.9%,57.7%,43.3%,51.8%,46.1%,49.0%,0.96
Grass,12,2,10,16.7%,6-22,21.4%,111-164,40.4%,2-2,50.0%,12,60.6%,19.3%,2.8%,7.1%,59.4%,62.3%,42.5%,54.2%,37.4%,46.0%,0.82
Grand Slams,15,4,11,26.7%,12-25,32.4%,140-194,41.9%,3-0,100.0%,15,57.7%,24.2%,2.5%,6.1%,59.1%,60.7%,42.5%,53.3%,38.7%,46.4%,0.83
Premiers,12,2,10,16.7%,10-22,31.3%,130-169,43.5%,2-4,33.3%,12,56.1%,31.0%,2.2%,4.9%,58.8%,58.2%,44.8%,52.7%,42.3%,47.5%,0.89
Internationals,75,36,39,48.0%,76-90,45.8%,738-793,48.2%,7-8,46.7%,75,56.3%,40.6%,2.0%,6.7%,57.9%,59.0%,44.4%,52.9%,46.1%,49.5%,0.98
Finals,2,1,1,50.0%,3-2,60.0%,22-24,47.8%,0-0,-,2,58.3%,36.4%,3.3%,4.0%,57.0%,59.3%,49.2%,55.0%,41.9%,49.1%,0.93
Semi-finals,5,2,3,40.0%,4-6,40.0%,36-51,41.4%,0-0,-,5,45.5%,37.2%,0.7%,7.4%,56.0%,52.5%,41.9%,47.9%,45.2%,46.5%,0.87
Quarter-finals,9,5,4,55.6%,10-10,50.0%,90-88,50.6%,1-0,100.0%,9,57.1%,43.0%,2.3%,4.3%,64.5%,57.6%,45.2%,53.2%,47.9%,50.5%,1.02
vs Righties,96,38,58,39.6%,89-133,40.1%,941-1113,45.8%,13-10,56.5%,96,56.2%,35.5%,2.1%,6.5%,58.4%,59.3%,44.2%,53.0%,44.0%,48.5%,0.93
vs Lefties,7,2,5,28.6%,5-11,31.3%,63-75,45.7%,0-2,0.0%,7,58.6%,33.3%,2.1%,7.2%,60.8%,56.9%,43.2%,51.5%,43.1%,47.4%,0.89
vs Top 10,3,0,3,0.0%,1-6,14.3%,23-40,36.5%,0-0,-,3,59.4%,12.9%,2.5%,5.4%,61.8%,61.1%,42.3%,53.9%,36.3%,45.1%,0.79
