Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Ostrava F,L vs Boulter,0.0%,-,2.0%,100.0%,4.4%,5.9%,0.0%,3.8%,16.7%,1.8%,25.0%,-72,-3
2023 Cluj Napoca F,W vs Ruse,0.0%,-,4.8%,66.7%,10.7%,24.0%,50.0%,4.7%,28.6%,0.7%,100.0%,-98,-72
2023 ITF Trnava R32,L vs Falkowska,0.0%,-,8.9%,30.0%,13.2%,25.0%,0.0%,7.9%,21.4%,0.0%,-,-56,-3
2023 Australian Open R128,L vs Raducanu,0.0%,-,6.1%,57.1%,13.0%,10.3%,100.0%,7.6%,13.3%,0.9%,50.0%,-90,-95
2022 Wimbledon R128,L vs Watson,0.0%,-,7.8%,56.3%,14.5%,24.3%,33.3%,3.8%,10.7%,1.1%,25.0%,-71,-46
2018 Lugano R16,W vs Von Deichmann,0.0%,-,12.6%,60.0%,8.8%,9.4%,0.0%,9.6%,25.6%,2.3%,40.0%,-53,-41
2017 Stuttgart R32,L vs Suarez Navarro,0.0%,-,7.7%,30.0%,6.3%,16.7%,0.0%,12.6%,32.3%,1.4%,40.0%,-85,-105
2016 Limoges QF,L vs Vikhlyantseva,0.0%,-,1.6%,100.0%,7.4%,16.7%,0.0%,4.2%,9.1%,0.6%,0.0%,-32,-24
Last 52 Weeks (1 matches),,0.0%,-,2.0%,100.0%,4.4%,5.9%,0.0%,3.8%,16.7%,1.8%,25.0%,-72,-3
Career (8 matches),,0.0%,-,6.6%,54.1%,9.8%,16.0%,22.2%,7.1%,21.3%,1.3%,39.3%,-71,-52
