Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1986,2,0,2,0.0%,0-4,0.0%,6-24,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Athens)
1985,3,1,2,33.3%,3-4,42.9%,26-29,47.3%,0-0,-,0,,,,,,,,,,,,R16 (Barcelona)
1984,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R64 (Berlin)
1983,9,1,8,11.1%,3-15,16.7%,57-100,36.3%,1-0,100.0%,0,,,,,,,,,,,,R32 (2x)
1982,21,9,12,42.9%,18-24,42.9%,171-191,47.2%,1-1,50.0%,0,,,,,,,,,,,,F (Hittfield)
1981,36,19,17,52.8%,42-39,51.9%,353-338,51.1%,2-3,40.0%,0,,,,,,,,,,,,QF (2x)
1980,51,27,24,52.9%,59-50,54.1%,504-474,51.5%,3-3,50.0%,0,,,,,,,,,,,,F (Kyoto)
1979,48,22,26,45.8%,48-55,46.6%,432-459,48.5%,4-5,44.4%,0,,,,,,,,,,,,SF (2x)
1978,56,31,25,55.4%,64-53,54.7%,540-502,51.8%,6-4,60.0%,0,,,,,,,,,,,,SF (New South Wales)
1977,59,31,28,52.5%,66-56,54.1%,564-536,51.3%,5-8,38.5%,0,,,,,,,,,,,,W (Kitzbuhel)
1976,48,24,24,50.0%,52-48,52.0%,454-446,50.4%,2-5,28.6%,0,,,,,,,,,,,,W (2x)
1975,49,31,18,63.3%,62-45,57.9%,499-459,52.1%,4-3,57.1%,0,,,,,,,,,,,,W (2x)
1974,34,21,13,61.8%,40-31,56.3%,323-276,53.9%,4-2,66.7%,0,,,,,,,,,,,,W (4x)
1973,35,20,15,57.1%,41-33,55.4%,337-303,52.7%,1-2,33.3%,0,,,,,,,,,,,,F (3x)
1972,2,0,2,0.0%,0-4,0.0%,7-24,22.6%,0-0,-,0,,,,,,,,,,,,R16 (Budapest)
1971,2,1,1,50.0%,2-2,50.0%,15-16,48.4%,0-0,-,0,,,,,,,,,,,,SF (Siracusa)
1970,8,4,4,50.0%,8-12,40.0%,93-103,47.4%,0-0,-,0,,,,,,,,,,,,F (Prague)
Career,464,242,222,52.2%,508-477,51.6%,4387-4292,50.5%,33-36,47.8%,0,,,,,,,,,,,,
