Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,3,0,3,0.0%,1,0,1,0.0%,2023,2026,R128,3,0.82,8.7%,4.0%,53.6%,72.3%,43.8%,59.1%,33.7%,50.0%,35.3%
Roland Garros,3,Clay,13,10,3,76.9%,7,6,1,85.7%,2023,2025,R32,13,1.00,3.1%,3.0%,61.6%,68.3%,47.7%,60.4%,39.6%,62.7%,42.6%
Wimbledon,3,Grass,6,3,3,50.0%,2,2,0,100.0%,2022,2025,R128,6,0.91,4.2%,4.2%,59.3%,65.3%,50.6%,59.3%,37.0%,56.7%,47.6%
US Open,2,Hard,4,2,2,50.0%,2,1,1,50.0%,2022,2023,Q2,4,0.90,7.0%,7.0%,57.9%,66.9%,55.1%,61.9%,34.2%,44.4%,21.7%
Davis Cup,2,,3,2,1,66.7%,1,1,0,100.0%,2022,2025,,0,,,,,,,,,,
Vienna,3,Hard,6,3,3,50.0%,3,2,1,66.7%,2022,2025,R16,6,1.05,6.8%,2.5%,63.3%,73.2%,54.9%,66.5%,35.2%,60.7%,30.6%
Stockholm,2,Hard,7,5,2,71.4%,3,2,1,66.7%,2023,2025,R16,7,1.00,5.1%,3.7%,60.7%,69.2%,54.8%,63.5%,36.6%,53.1%,43.6%
Kitzbuhel,3,Clay,8,5,3,62.5%,4,3,1,75.0%,2022,2025,F,8,0.94,4.4%,3.8%,57.4%,68.0%,50.0%,60.3%,37.2%,65.2%,40.7%
Bastad,2,Clay,10,8,2,80.0%,5,5,0,100.0%,2023,2025,QF,9,1.03,4.6%,1.3%,65.2%,69.1%,46.6%,61.3%,39.7%,65.1%,46.0%
Bucharest,2,Clay,6,4,2,66.7%,2,0,2,0.0%,2024,2025,QF,6,1.21,4.0%,4.0%,64.0%,70.6%,53.0%,64.2%,43.4%,59.4%,69.7%
Umag,2,Clay,6,4,2,66.7%,1,0,1,0.0%,2023,2024,R32,6,1.07,1.7%,2.5%,53.8%,70.3%,51.1%,61.4%,41.2%,56.4%,47.8%
