Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2017 US Open R128,L vs Strycova,8,24,0.3,9.3%,27.9%,8,21,0.4,10.1%,26.6%,10.1%,0.0%,0.8,14.0%,17.4%
2017 Wimbledon R128,L vs Flipkens,16,25,0.6,13.4%,21.0%,16,23,0.7,14.0%,20.2%,7.9%,4.4%,1.5,21.8%,14.3%
2017 Roland Garros R128,L vs Errani,26,47,0.6,19.1%,34.6%,26,44,0.6,19.7%,33.3%,14.4%,5.3%,1.4,12.5%,8.8%
2017 Australian Open R128,L vs Parmentier,10,35,0.3,6.5%,22.9%,9,33,0.3,6.5%,23.7%,3.6%,2.2%,0.6,15.7%,24.2%
2016 US Open R128,L vs Witthoeft,20,36,0.6,14.9%,26.9%,19,34,0.6,15.1%,27.0%,8.7%,4.8%,0.9,13.4%,14.2%
2016 Wimbledon R16,L vs Kerber,20,25,0.8,17.9%,22.3%,19,22,0.9,17.9%,20.8%,12.3%,5.7%,1.9,15.2%,8.0%
2016 Wimbledon R32,W vs Friedsam,22,15,1.5,13.9%,9.5%,22,13,1.7,15.1%,8.9%,12.3%,2.7%,1.2,20.3%,16.5%
2016 Wimbledon R64,W vs Pliskova,25,14,1.8,17.1%,9.6%,21,13,1.6,17.1%,10.6%,13.0%,3.3%,1.2,17.8%,14.4%
2016 Wimbledon R128,W vs Chirico,13,11,1.2,14.0%,11.8%,13,10,1.3,14.9%,11.5%,13.8%,1.1%,0.4,9.7%,24.7%
2016 Australian Open R128,L vs Kerber,59,62,1.0,24.0%,25.2%,56,60,0.9,24.1%,25.9%,22.4%,1.7%,1.3,14.2%,11.0%
2015 US Open R64,L vs Bencic,39,59,0.7,15.6%,23.6%,38,52,0.7,16.4%,22.4%,12.9%,3.4%,0.7,12.0%,18.0%
2015 Wimbledon R128,L vs Svitolina,30,41,0.7,18.5%,25.3%,28,35,0.8,19.2%,24.0%,16.4%,2.7%,0.8,12.3%,16.0%
2015 Roland Garros R64,L vs Ivanovic,36,31,1.2,18.0%,15.5%,34,30,1.1,18.8%,16.6%,16.6%,2.2%,1.1,19.5%,18.5%
2015 Roland Garros R128,W vs Cetkovska,23,21,1.1,18.7%,17.1%,21,19,1.1,19.1%,17.3%,13.6%,5.5%,0.5,13.8%,26.0%
2014 US Open R128,L vs Azarenka,30,49,0.6,13.6%,22.2%,28,46,0.6,14.4%,23.6%,10.8%,3.1%,0.8,16.3%,21.3%
2014 Wimbledon R64,L vs Makarova,21,21,1.0,14.0%,14.0%,20,21,1.0,14.1%,14.8%,11.3%,2.1%,2.4,22.7%,9.3%
2014 Wimbledon R128,W vs Svitolina,23,20,1.2,18.9%,16.4%,23,19,1.2,19.7%,16.2%,17.1%,2.6%,0.8,13.9%,18.0%
2014 Roland Garros R128,L vs Petkovic,14,20,0.7,13.1%,18.7%,14,16,0.9,14.1%,16.2%,12.1%,2.0%,2.1,19.6%,9.3%
2014 Australian Open R128,L vs Jankovic,10,26,0.4,10.5%,27.4%,9,23,0.4,11.4%,29.1%,,,1.1,21.1%,20.0%
2013 US Open R128,L vs Kvitova,15,23,0.7,8.8%,13.5%,14,18,0.8,8.9%,11.4%,,,1.0,17.0%,17.0%
Career (23 matches),,492,661,0.7,15.0%,20.2%,468,598,0.8,15.6%,19.9%,11.0%,2.5%,1.0,16.2%,16.7%
